player_id,player_name,age,season,game_num,date,team,opponent,home_away_status,result,G,A,P,rating,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S_perc,shifts,TOI,HIT,BLK,FOW,FOL,FOW_perc
/a/acciano01,Noel Acciari,29,2021,28,2021-03-30,FLA,DET,1,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,20.2,4,2,12,9,57.1
/a/acciano01,Noel Acciari,29,2021,29,2021-04-01,FLA,DET,1,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,29,21.88333333333333,3,1,14,13,51.9
/a/acciano01,Noel Acciari,29,2021,30,2021-04-03,FLA,CBJ,1,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,22,17.0,2,0,10,10,50.0
/a/acciano01,Noel Acciari,29,2021,31,2021-04-04,FLA,CBJ,1,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,18.616666666666667,1,2,7,6,53.8
/a/acciano01,Noel Acciari,29,2021,32,2021-04-06,FLA,CAR,0,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,19.133333333333333,5,2,6,4,60.0
/a/acciano01,Noel Acciari,29,2021,33,2021-04-08,FLA,CAR,0,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,16.55,1,4,6,8,42.9
/a/acciano01,Noel Acciari,29,2021,34,2021-04-10,FLA,DAL,0,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,11.033333333333333,0,1,4,6,40.0
/a/acciano01,Noel Acciari,29,2021,35,2021-04-13,FLA,DAL,0,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,11.15,4,1,4,5,44.4
/a/acciano01,Noel Acciari,29,2021,36,2021-04-15,FLA,TBL,0,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13.416666666666664,2,5,7,1,87.5
/a/acciano01,Noel Acciari,29,2021,37,2021-04-26,FLA,NSH,0,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,14,11.15,3,0,2,2,50.0
/a/acciano01,Noel Acciari,29,2021,38,2021-04-29,FLA,CHI,0,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,13.233333333333333,1,1,5,2,71.4
/a/acciano01,Noel Acciari,29,2021,39,2021-05-01,FLA,CHI,0,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,14.266666666666667,1,0,6,6,50.0
/a/acciano01,Noel Acciari,29,2021,40,2021-05-03,FLA,DAL,1,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,18,13.7,2,3,8,5,61.5
/a/acciano01,Noel Acciari,29,2021,41,2021-05-08,FLA,TBL,1,W,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,20,14.633333333333333,5,0,7,6,53.8
