Player,Team,Pos,Est. Return,Injury,Status,Next Game (EST)
David Savard,MON,D,Subscribers Only,Knee,Out,Sep 25 7:00 PM
Mike Matheson,MON,D,Subscribers Only,Lower Body,Out,Sep 25 7:00 PM
Josh Anderson,MON,RW,Subscribers Only,Ankle,Out,Sep 25 7:00 PM
Sean Monahan,MON,C,Subscribers Only,Groin,IR-LT,Sep 25 7:00 PM
Christian Dvorak,MON,LW,Subscribers Only,Knee,Out,Sep 25 7:00 PM
Jordan Harris,MON,D,Subscribers Only,Lower Body,Out,Sep 25 7:00 PM
Kirby Dach,MON,C,Subscribers Only,Upper Body,Out,Sep 25 7:00 PM
Cole Caufield,MON,RW,Subscribers Only,Shoulder,IR,Sep 25 7:00 PM
Kaiden Guhle,MON,D,Subscribers Only,Ankle,Out,Sep 25 7:00 PM
Juraj Slafkovsky,MON,LW,Subscribers Only,Lower Body,IR,Sep 25 7:00 PM
Arber Xhekaj,MON,D,Subscribers Only,Shoulder,IR,Sep 25 7:00 PM
Dougie Hamilton,NJ,D,Subscribers Only,Wrist,Out,Sep 25 7:00 PM
Jack Hughes,NJ,C,Subscribers Only,Upper Body,Day-To-Day,Sep 25 7:00 PM
Cam Atkinson,PHI,RW,Subscribers Only,Neck,IR,Sep 25 7:00 PM
Sean Couturier,PHI,C,Subscribers Only,Back,IR,Sep 25 7:00 PM
Victor Mete,PHI,D,Subscribers Only,Lower Body,Out,Sep 25 7:00 PM
Egor Zamula,PHI,D,Subscribers Only,Shoulder,Out,Sep 25 7:00 PM
Andre Burakovsky,SEA,LW,Subscribers Only,Groin,Day-To-Day,Sep 25 9:00 PM
Stefan Noesen,CAR,C,Subscribers Only,Shoulder,Out,Sep 26 7:00 PM
Andrei Svechnikov,CAR,RW,Subscribers Only,Knee,IR-LT,Sep 26 7:00 PM
Robby Fabbri,DET,LW,Subscribers Only,Knee,Out,Sep 26 7:00 PM
Jake Walman,DET,D,Subscribers Only,Upper Body,Out,Sep 26 7:00 PM
Daniel Sprong,DET,RW,Subscribers Only,Upper Body,Out,Sep 26 7:00 PM
Michael Rasmussen,DET,C,Subscribers Only,Knee,IR,Sep 26 7:00 PM
Marco Kasper,DET,C,Subscribers Only,Lower Body,Out,Sep 26 7:00 PM
Oliver Wahlstrom,NYI,RW,Subscribers Only,Knee,Out,Sep 26 7:00 PM
Alexander Romanov,NYI,D,Subscribers Only,Upper Body,Out,Sep 26 7:00 PM
Austin Watson,TB,LW,Subscribers Only,Lower Body,Out,Sep 26 7:00 PM
Erik Cernak,TB,D,Subscribers Only,Concussion,Out,Sep 26 7:00 PM
Tanner Jeannot,TB,LW,Subscribers Only,Ankle,Out,Sep 26 7:00 PM
Taylor Raddysh,CHI,RW,Subscribers Only,Groin,Out,Sep 28 8:30 PM
Cole Guttman,CHI,C,Subscribers Only,Shoulder,Out,Sep 28 8:30 PM
Philipp Kurashev,CHI,LW,Subscribers Only,Shoulder,Out,Sep 28 8:30 PM
Jarred Tinordi,CHI,D,Subscribers Only,Hip,Out,Sep 28 8:30 PM
Colin Blackwell,CHI,C,Subscribers Only,Groin,Out,Sep 28 8:30 PM
Simon Edvinsson,DET,D,Subscribers Only,Shoulder,Out,Sep 26 7:00 PM
Jake Guentzel,PIT,LW,Subscribers Only,Ankle,Out,Sep 24 1:00 PM
Jack Quinn,BUF,C,Subscribers Only,Achilles,Out,Sep 24 2:00 PM
Matt Murray,TOR,G,Subscribers Only,Undisclosed,IR-LT,Sep 24 2:00 PM
Cam Allen,WAS,D,Subscribers Only,Shoulder,Out,Sep 24 2:00 PM
Luke Philp,CHI,C,Subscribers Only,Achilles,Out,Sep 28 8:30 PM
Isac Lundestrom,ANH,LW,Subscribers Only,Achilles,Out,Sep 24 8:00 PM
Bryan Little,ARI,C,Subscribers Only,Head,IR-LT,Sep 23 12:05 AM
Jakub Voracek,ARI,LW,Subscribers Only,Concussion,IR,Sep 23 12:05 AM
Carey Price,MON,G,Subscribers Only,Knee,IR-LT,Sep 25 7:00 PM
Ryan Ellis,PHI,D,Subscribers Only,Back,IR-LT,Sep 25 7:00 PM
Gabriel Landeskog,COL,LW,Subscribers Only,Knee,IR-LT,Sep 24 3:00 PM
