player_id,cluster
hamildo01,skill
hamontr01,defensive
hanifno01,defensive
hanlejo01,grinder
hardmmi01,grinder
harkija01,grinder
harleth01,defensive
harpube01,defensive
harrijo01,defensive
harrisc01,defensive
hartmry01,skill
harvera01,defensive
hathaga01,grinder
haulaer01,skill
hawryja01,grinder
haydejo01,grinder
hayeske01,skill
haytoba01,grinder
hedmavi01,skill
heineda01,grinder
heiskmi01,skill
helmda01,grinder
henriad01,skill
hertlto01,skill
highmma01,grinder
hinosvi01,grinder
hintzro01,skill
hischni01,skill
hjalmni01,defensive
hoffmmi02,grinder
hoglani01,grinder
holdeni01,defensive
hollju01,defensive
hollody01,grinder
holmbpo01,grinder
holmssi01,grinder
holtzal01,grinder
hornqpa01,grinder
horvabo01,skill
howdebr01,grinder
hronefi01,defensive
huberjo01,skill
hugheja03,skill
hughelu01,skill
hughequ01,skill
huntbr01,grinder
huntdr01,grinder
huttobe01,defensive
hymanza01,skill
iafalal01,skill
irwinma01,defensive
jankoma01,grinder
janmama02,grinder
jarnkca01,grinder
jarvise01,skill
jeannta01,grinder
jennebo01,skill
jenseni02,defensive
jiricda01,defensive
johanma03,grinder
johanry01,skill
johnsan01,grinder
johnser01,defensive
johnsja02,defensive
johnske01,grinder
johnsre01,grinder
johnsro02,grinder
johnsty01,grinder
johnswy01,skill
jokihhe01,defensive
jonesca01,defensive
jonesma03,grinder
jonesse01,defensive
jonesza01,grinder
jonssax01,grinder
josepma01,grinder
joseppi01,grinder
joshuda01,grinder
josiro01,skill
jostty01,grinder
juoleol01,grinder
juulsno01,defensive
kadrina01,skill
kahundo01,grinder
kaisewy01,defensive
kakkoka01,grinder
kaliyar01,grinder
kampfda01,grinder
kaneev01,skill
kanepa01,skill
kapanka01,grinder
kapriki01,skill
karlser01,skill
karlswi01,skill
kartyty01,grinder
kaseon01,skill
kassiza01,grinder
kastema01,grinder
katchbo01,grinder
kautma01,grinder
keithdu01,defensive
kellecl01,skill
kellypa01,grinder
kempead01,skill
kerfoal01,grinder
kerota01,grinder
kessemi01,grinder
kesseph01,grinder
khairju01,grinder
kiersma01,grinder
killoal01,skill
kivirjo01,grinder
klingjo01,defensive
kniesma01,grinder
knyzhni01,defensive
koekksl01,defensive
koleske01,grinder
kolyavl01,defensive
komarle01,grinder
konectr01,skill
kopitan01,skill
korchke01,defensive
kostikl01,grinder
kotkaje01,grinder
kovacjo01,defensive
kravtvi01,grinder
krebspe01,grinder
kreidch01,skill
krejcda01,skill
krugto01,skill
kubaldo01,grinder
kucheni01,skill
kuhlmka01,grinder
kukande01,defensive
kulakbr01,defensive
kulikdm01,defensive
kuninlu01,grinder
kuokkja01,grinder
kuparra01,grinder
kuralse01,grinder
kurasph01,grinder
kuzmean01,skill
kuzneev01,skill
kylinol01,defensive
kyroujo01,skill
labanke01,grinder
lacomja01,defensive
laczyta01,grinder
laddan01,grinder
laferal01,grinder
laffesa01,grinder
lafreal01,grinder
lageswi01,defensive
lainepa01,skill
lammiju01,grinder
landega01,skill
lapiehe01,grinder
larkidy01,skill
larssad01,defensive
larssja01,defensive
larssjo02,grinder
laughsc01,skill
laukoja01,grinder
lauzoje01,defensive
lazarcu01,grinder
leasobr01,grinder
leddyni01,defensive
leean01,skill
lehkoar01,skill
leivojo01,grinder
lemiebr01,grinder
leonajo01,grinder
leschja01,grinder
letankr01,skill
lettivi01,grinder
lewistr01,grinder
liljeti01,defensive
lindbos01,grinder
lindees01,defensive
lindgry01,defensive
lindhel01,skill
lindhha01,defensive
lindko01,grinder
lindsgu01,defensive
lizotbl01,grinder
lockwwi01,grinder
lombery01,grinder
lorenst01,grinder
lowryad01,grinder
lucicmi01,grinder
luffma01,grinder
lundean01,skill
lundeis01,grinder
lundkni01,defensive
luostee01,grinder
lyubuil01,defensive
maattol01,defensive
maccema01,grinder
macdeku01,grinder
macdoja02,grinder
maceama01,grinder
macewza01,grinder
mackeco01,grinder
mackina01,skill
maenasa01,grinder
mahurjo01,grinder
makarca01,skill
malenbe01,grinder
malgide01,grinder
malkiev01,skill
maltsmi01,grinder
maminma01,grinder
mangian01,skill
mansojo01,defensive
manthan01,grinder
marchbr03,skill
marchki01,skill
marchma01,grinder
marinjo01,defensive
marlepa01,grinder
marnemi01,skill
maroopa01,grinder
martial01,defensive
martijo01,grinder
martima02,grinder
mathemi01,defensive
matthau01,skill
mayfisc01,defensive
mayhege01,grinder
mayody01,defensive
mcavoch01,skill
mcbaija03,grinder
mccabja01,defensive
mccanja01,skill
mccarmi01,grinder
mcdavco01,skill
mcdonry01,defensive
mcginbr01,grinder
mckeggr01,grinder
mcleomi01,grinder
mcleory01,grinder
mcmanbo02,grinder
mcmicco01,grinder
mcnabbr01,defensive
mctavma01,skill
megnaja01,grinder
megnaja02,defensive
meierti01,skill
melocni01,defensive
merceda01,skill
merklni01,grinder
merklry01,grinder
mermida01,defensive
merrijo01,defensive
metevi01,defensive
meyerbe01,grinder
middlja01,defensive
mikheil01,grinder
mikkoni01,defensive
milanso01,grinder
milleco02,defensive
millejt01,skill
milleka01,defensive
mintypa01,defensive
mitchia01,defensive
mitteca01,skill
monahse01,skill
montobr01,skill
mooretr01,skill
morrijo04,skill
moserja01,defensive
mottety01,grinder
murphco02,defensive
murrary01,defensive
muzzija01,defensive
myersph01,defensive
myersty01,defensive
namesvl01,grinder
nashri02,grinder
nealja01,grinder
necasma01,skill
neighja01,grinder
nelsobr01,skill
nemetpa01,defensive
nesteni01,grinder
newhoal01,grinder
nichuva01,skill
niedeni01,grinder
niemema01,grinder
nietoma01,grinder
noesest01,grinder
nordsjo02,grinder
norrijo01,skill
nosekto01,grinder
novakth01,skill
nugenry01,skill
nurseda01,defensive
nutivma01,grinder
nylanwi01,skill
nyquigu01,skill
obrieli01,grinder
oconndr01,grinder
oconnlo01,grinder
oestejo01,defensive
okhotni01,defensive
okposky01,grinder
oleksja01,defensive
olivima01,grinder
olofsfr01,grinder
olofsfr01,grinder
olofsvi01,skill
oreilry01,skill
orlovdm01,defensive
oshietj01,skill
ovechal01,skill
pacioma01,skill
pageaje01,skill
palaton01,skill
palmiky01,grinder
panarar01,skill
panikri01,grinder
paquece01,grinder
parayco01,defensive
parisza01,grinder
parssju01,grinder
pastrda01,skill
patrino01,grinder
paulni01,grinder
paveljo01,skill
pearsta01,grinder
pederla01,grinder
peekean01,defensive
pelecad01,defensive
perbini01,defensive
perfeco01,skill
perrema01,grinder
perroda01,skill
perryco01,grinder
perunsc01,defensive
pescebr01,defensive
petanni01,grinder
peterja01,grinder
peterjo01,grinder
petryje01,defensive
petteel01,skill
pettema01,defensive
pezzemi01,grinder
phillis01,grinder
pietral01,defensive
pintosh01,grinder
pionkne01,defensive
pitlire01,grinder
pitlity01,grinder
podkova01,grinder
poehlry01,grinder
pointbr01,skill
poitrma01,grinder
poolmtu01,defensive
pospima01,grinder
powerow01,defensive
protaal01,grinder
provoiv01,defensive
puljuje01,grinder
pulocry01,defensive
pysykma01,defensive
quinnja01,grinder
raddyda01,defensive
raddyta01,grinder
radulal01,grinder
rafflmi01,grinder
rakelri01,skill
rantami01,skill
raskvi01,grinder
rasmumi01,grinder
raymolu01,skill
reavery01,grinder
reedysc01,grinder
reichlu01,grinder
reillmi01,defensive
reinhsa01,skill
richabr02,grinder
riedeto01,grinder
riellmo01,skill
ristora01,defensive
ritchbr01,grinder
ritchni01,grinder
roberja01,skill
roberni01,grinder
robinbu01,grinder
robiner01,grinder
rodriev01,skill
romanal01,defensive
rondbjo01,grinder
