,G60_3,A60_3,P60_3,rating60_3,PIM60_3,EVG60_3,PPG60_3,SHG60_3,GWG60_3,EVA60_3,PPA60_3,SHA60_3,S60_3,shifts60_3,HIT60_3,BLK60_3,FOW60_3,FOL60_3,SavgTOI_3,G60_5,A60_5,P60_5,rating60_5,PIM60_5,EVG60_5,PPG60_5,SHG60_5,GWG60_5,EVA60_5,PPA60_5,SHA60_5,S60_5,shifts60_5,HIT60_5,BLK60_5,FOW60_5,FOL60_5,SavgTOI_5,G60_10,A60_10,P60_10,rating60_10,PIM60_10,EVG60_10,PPG60_10,SHG60_10,GWG60_10,EVA60_10,PPA60_10,SHA60_10,S60_10,shifts60_10,HIT60_10,BLK60_10,FOW60_10,FOL60_10,SavgTOI_10,G60_15,A60_15,P60_15,rating60_15,PIM60_15,EVG60_15,PPG60_15,SHG60_15,GWG60_15,EVA60_15,PPA60_15,SHA60_15,S60_15,shifts60_15,HIT60_15,BLK60_15,FOW60_15,FOL60_15,SavgTOI_15,G60_20,A60_20,P60_20,rating60_20,PIM60_20,EVG60_20,PPG60_20,SHG60_20,GWG60_20,EVA60_20,PPA60_20,SHA60_20,S60_20,shifts60_20,HIT60_20,BLK60_20,FOW60_20,FOL60_20,SavgTOI_20,point_streak,GA60_3,SA60_3,SV60_3,SVpct_3,GavgTOI_3,GA60_5,SA60_5,SV60_5,SVpct_5,GavgTOI_5,GA60_10,SA60_10,SV60_10,SVpct_10,GavgTOI_10,GA60_15,SA60_15,SV60_15,SVpct_15,GavgTOI_15,GA60_20,SA60_20,SV60_20,SVpct_20,GavgTOI_20
G60_3,1.0,0.10092900671407701,0.67551775332349,0.28738283511243096,-0.014748819051170984,0.9016796290647394,0.4734982520035438,0.173339537740104,0.43194091327936973,0.06391635287503446,0.10253855218265295,0.0031267167404684065,0.43139367695608793,-0.03966049367074806,-0.07205352650019692,-0.17714752970362402,0.12101703314036871,0.11966458091724061,-0.001774237410538046,0.8167351361254777,0.12643505741127112,0.5722184627260456,0.22982190909586991,-0.018142269760947363,0.7405286197099972,0.40930761312009356,0.14441229203715142,0.3694047790401948,0.08381478450571574,0.12213904981698363,0.004875628033507026,0.3990588961381102,-0.055937851279529875,-0.07439231737876872,-0.2063504838205854,0.12080781722241941,0.12164002469298779,-0.007962765325637765,0.6462005733927101,0.1688198796257241,0.4828122148442669,0.17491713023526226,-0.02752380470363741,0.5895103899584829,0.36337567716184505,0.11911515856315744,0.31764757023972645,0.12194161907189403,0.1523836128702308,-0.00022809049508219987,0.37503722476230067,-0.07127412275188456,-0.07772180894865936,-0.23839285335154956,0.12127831986157628,0.12274040129446018,-0.011808319520850279,0.5795960114885391,0.18964627034640805,0.44840874269964714,0.14837804281274275,-0.028267294806601923,0.5310796350126537,0.3536120891698226,0.11012023417850914,0.3020478298036175,0.14352650973190764,0.16726275280699654,-0.004510799486622445,0.3703900790539028,-0.07585913700728161,-0.0791955819498886,-0.2545702418186811,0.12096234724669315,0.12362033060301457,-0.01515159727381056,0.5453796261050687,0.2067241118015432,0.43365968864528176,0.13181875749414856,-0.02750559371868511,0.5040190447820813,0.34812804071337156,0.105888725145041,0.3027729738560803,0.16194680269405806,0.17941812762838197,-0.007154091102612061,0.37182154951948915,-0.07715789891746558,-0.08048550627453924,-0.26486560014155375,0.12158978132593656,0.12517953771867132,-0.01923446697482881,0.42834296919454373,0.009490845217371986,0.008903323983866073,0.006967323185231444,-0.00635153622433296,-0.0011222224781952642,0.008901806219084719,0.006854540044655721,0.005145914047638738,-0.006391536955857539,0.003277319216254807,0.004555931612477901,0.006979204302957264,0.006448862469471026,-0.0018273424615442122,0.0044403386520854024,0.0021565829289381115,0.005065735213530351,0.004996035684110046,-8.598687277900208e-05,0.006872557540385907,0.007249358214877498,0.005053037838112895,0.003964995943437129,-0.005606522515756714,0.0011791096480974453
A60_3,0.10092900671407701,1.0,0.801757908603159,0.3535864754125862,-0.03638394732267079,0.06781955047059463,0.09991206125423911,0.011879738876305859,0.0621909646676131,0.8847625248120247,0.5159486245887345,0.12647161545470184,0.14766235230104832,-0.1368063086807662,-0.1508225408478437,-0.1239954036414754,0.08665673845267112,0.08203611965782565,0.1473628717058479,0.12907620353021848,0.8118335699435837,0.6614839403593042,0.2862014552410211,-0.04679670156179581,0.08783155682918665,0.12814142594244066,0.019319324008963707,0.08037843628535786,0.7149125861623854,0.450534503115967,0.09656640433812788,0.17026069648508918,-0.1603379109713873,-0.1576764464727335,-0.14554716624219743,0.08499793101075646,0.08276434401458412,0.14809531631471126,0.17411933835453958,0.6384661297745108,0.5381161289024066,0.22620859527906542,-0.060645186427721064,0.12668101472171814,0.16881500070358288,0.01995121263740625,0.10606126512024429,0.5618691378850234,0.3945075664978183,0.06899648285642777,0.1992756321826639,-0.18010123563378402,-0.16698250653696256,-0.16835812776117556,0.08710858620258247,0.08751160453445425,0.14818326949837463,0.19534691252756406,0.5681405294446652,0.48804872941726946,0.1969907523132582,-0.0689813873254169,0.14621834230771996,0.19066769430923833,0.02150966436590675,0.12881326352317182,0.5026126557258056,0.37360184490741694,0.058639674512331395,0.20837627533052563,-0.18212513350149825,-0.16883280935832032,-0.176480907010881,0.08689386865290148,0.08819593452816019,0.1409569387144194,0.20902464135781845,0.5305167553081773,0.4613421308681874,0.1814017770047074,-0.07321784180888893,0.16124053260183277,0.202709656661374,0.022893239398205076,0.13900152515562378,0.46862006163794906,0.369373734881057,0.04864231027843589,0.21530908477055327,-0.18286017021728673,-0.17166714206152472,-0.17898479317118304,0.08653693205532006,0.0876338983513461,0.1405323487342539,0.5464667682650732,0.011999951611418562,0.013355702546973224,0.010993131226574053,-0.007176274380729632,-0.0007229678063906993,0.01161889415547043,0.008859863358464322,0.0066253237327261755,-0.008386928973054777,0.004143940777716301,0.006483209372219616,0.012038548784602332,0.011425268615038373,-0.001612796696533371,0.004457336406121454,0.001048229987833365,0.00825929199632421,0.008663482909799309,0.0022674614721927885,0.0073082495949348064,0.008730662941489617,0.007500787721718676,0.006310557605354018,-0.006364530603172626,0.0017769971032638246
P60_3,0.67551775332349,0.801757908603159,1.0,0.434688495029933,-0.035825027065377484,0.5919167404194084,0.35848582089522835,0.11293231610591091,0.3055654768283942,0.6941180574654332,0.4439806659014162,0.09560995041693163,0.36858199839147676,-0.12521572268066386,-0.15506257428709128,-0.19831191988607438,0.13692067129828023,0.1326837601635694,0.10814896585965923,0.586354129955461,0.6773247842305188,0.8338081999912951,0.3500905522682,-0.04556499258434995,0.5100133277356872,0.34085523389545413,0.10108195524429056,0.281499446258776,0.5799230549279044,0.40711590905128053,0.07445987169000029,0.3658965019918736,-0.1523789786916745,-0.16149606454472823,-0.23179970280789322,0.13554956857801392,0.1343951073890142,0.10491517897332789,0.5165516305250762,0.5742151065914531,0.688198917410958,0.2724797612895524,-0.06143252926307432,0.44740955813240635,0.3429942583139475,0.08622037831955714,0.2690814830823757,0.4893576999735381,0.38363754167436975,0.05097443376903254,0.3725530630482199,-0.1761630550369589,-0.1703120454263378,-0.26769569156983797,0.13726662151086402,0.13844207248693344,0.10268904637434134,0.49175354358084505,0.5344169353983392,0.6300271613580354,0.23476971964966653,-0.06802508312838,0.42631025169033504,0.3529743196917599,0.08187071810506658,0.2762790925212541,0.4582605458803652,0.37690571376568893,0.04073761703645857,0.3761385217098243,-0.18033536431128566,-0.17248657032984488,-0.2831616105331977,0.13679739044615488,0.13935345064671076,0.09534442646212848,0.4813840631313305,0.5166856053429403,0.6013483035974118,0.21327972723376007,-0.07069525891973863,0.4212281946403351,0.3585897271569959,0.08036244325474096,0.2842487111767454,0.44403209431442286,0.38099330510460644,0.03174005504010783,0.3821088121910503,-0.1816279720919546,-0.17533114578667108,-0.2911603848453971,0.13689842358880097,0.1398604322362217,0.09255903504721419,0.6623145858877145,0.014576788363147205,0.01522843454997431,0.012318101168998586,-0.009122489261652945,-0.0012082565394948735,0.013940423431907274,0.01067001662838127,0.007991018417849261,-0.010042251315588703,0.0050333276725375645,0.007530908832149226,0.013098372075856714,0.012326544926754295,-0.002288534148737856,0.005960055584749917,0.0020673746298034406,0.009146597434389317,0.00940399765146569,0.0016266592485964673,0.009524831763751298,0.010794994904865558,0.008570572468725014,0.007039176413587729,-0.008062143235301003,0.002019660501868519
rating60_3,0.28738283511243096,0.3535864754125862,0.434688495029933,1.0,-0.021058382757606776,0.3126938811599724,0.010871603055037708,0.07513324910320085,0.17172891004755017,0.39279087862377166,0.025975763090596755,0.06679146141816542,0.09473347598020551,-0.03531887338538424,-0.0482957548046295,0.016557298968704174,0.002729760482303823,-0.008363133184535103,0.08979283945184484,0.21542728515452525,0.2740848713329572,0.3245405715534033,0.7846266081589506,-0.020389130055576597,0.23543645517367925,0.011661921774953564,0.06723220214845135,0.1408910671340198,0.30711617000983044,0.02803985033852524,0.0570051387720784,0.0756604775560777,-0.03673501916677998,-0.04096149604008018,0.014634810064006873,0.0007020917328217322,-0.008756741386410947,0.07607867947988363,0.1484648542787029,0.2000912473129908,0.22191855620146628,0.577600051101911,-0.030712123663452873,0.16033896741203493,0.02317314168769375,0.05220599310586993,0.1076388390189219,0.22847984847296346,0.030372534015468362,0.05267619592691341,0.06191302624548006,-0.04061094512344756,-0.038812755046713235,0.010570494890347813,-0.000838351429112191,-0.007800189291349069,0.07140178324683394,0.11724269025819735,0.16812871853581335,0.1774145311150593,0.4866458288960523,-0.028226921516168603,0.12324665736395218,0.031057188406990684,0.04773821149853131,0.0942965542877467,0.19506333104768017,0.031773304077396695,0.05211571039944178,0.05458194391580989,-0.0362592023883653,-0.03497366597253517,0.01256938906803463,-0.0005381617131104763,-0.007420020525622188,0.06651643803267283,0.09886217235680003,0.14760174123768235,0.15063302298076145,0.44035313910591756,-0.025860285074305024,0.10400436574986409,0.029318113854886467,0.04621357787589898,0.08833511919328844,0.17313112592483773,0.032471102547462334,0.05243070703560527,0.0501115225469021,-0.03689277005225817,-0.03542696827664447,0.01511552814058448,0.0005716623506769263,-0.006619262180944553,0.06970358055639451,0.2844035484399437,0.0007951178379256239,0.013409531587730956,0.013761780193111707,0.005180490452317125,0.010858195818657858,0.007829657716050025,0.010374638780535149,0.00909147251678668,-0.0028595767266739523,0.014938975014304669,-0.0032644771063165524,0.013296156957159374,0.014904180137755758,0.010539200564798342,0.020616690300742417,-0.00948637437660553,0.009620564798191235,0.012338051008192703,0.014646638252937244,0.022382315287695846,0.002021853058476265,0.005551206820071775,0.005599354090910111,0.0005387787623168781,0.011202405554115008
PIM60_3,-0.014748819051170984,-0.03638394732267079,-0.035825027065377484,-0.021058382757606776,1.0,-0.003005065618886713,-0.029156498375036796,-0.0025585858411211588,-0.010636570181538348,-0.019752012847706075,-0.04029129096213285,-0.010688776768209523,-0.005001906042468711,0.16138378467464906,0.23535641360481785,0.004201877617007538,-0.024244037709462728,-0.02544320336091615,-0.18119904381783397,-0.02089059255864977,-0.0458341253679898,-0.045357775384205753,-0.019374803475309302,0.8149103226281125,-0.00712722547794729,-0.036574034457366615,-0.0011259318882864658,-0.014143525483151892,-0.02604685991568901,-0.048930305876965424,-0.012905319954326986,-0.006638076344481861,0.14695504974501275,0.24623105900492273,0.007894630104969857,-0.026851519580577948,-0.02764203181156023,-0.1679714456654218,-0.02382981176240651,-0.05775950560912909,-0.053264585882281196,-0.020428506203899126,0.6463795537704543,-0.008350502923508864,-0.04226181965756296,-0.0011975723791524647,-0.017975284471928737,-0.03438648319200283,-0.060965872138908896,-0.012921072181060493,-0.007153131745030916,0.13186901175270052,0.26117365528997777,0.00901048526164399,-0.02799769352364403,-0.02804641210230438,-0.15768189359988097,-0.029120151305860976,-0.06215911414730736,-0.05769654229124167,-0.024325862766464788,0.5732880757568862,-0.013919447294197794,-0.04506293436099601,-0.0010768246500193065,-0.021608110011718033,-0.03761072708010351,-0.06497245970395353,-0.01796746570733053,-0.005788881527005084,0.12397437582818045,0.26327682904592625,0.008768202291190302,-0.02598984679315706,-0.026820761342889042,-0.15179925133077454,-0.030380885479445507,-0.06811517859602237,-0.06117271803647314,-0.025259774621657963,0.5368013510981532,-0.013854696577308702,-0.04981700632566362,0.0006141109247055863,-0.023343128506899378,-0.04311844826666135,-0.06939484859846735,-0.020085502852592484,-0.0013530107353525484,0.122733691305332,0.2633792253575011,0.0075041417809926445,-0.025380861963964624,-0.02675283654282468,-0.14963840795423736,-0.06766825496173112,0.005042152629245513,0.0013725023415129506,0.00020757876325135013,-0.00492466173515006,-0.0015776156511379627,0.002416907883183377,5.9053694291245445e-05,-0.0004959410722393966,-0.0029214368208649996,-0.001639075336267088,0.010004480807356936,0.0037616064257188185,0.001820876527801939,-0.009517957274035455,-0.0001382883012463585,0.005150589378169024,-0.0013665552164391801,-0.0025505469035889223,-0.006650188998539363,0.0018737313346990046,0.004111607127489806,-0.0019874211898334914,-0.003016520541897492,-0.0060959488301682895,0.0031654497278813592
EVG60_3,0.9016796290647394,0.06781955047059463,0.5919167404194084,0.3126938811599724,-0.003005065618886713,1.0,0.07932056727312647,0.014052649397829454,0.3951769176861067,0.04859905515012525,0.05862982853488093,0.0008811244651923991,0.3700364481796401,0.008044739164571674,-0.03860127181970495,-0.14507992191046917,0.08466968986681239,0.08768930483259565,-0.04341846846068063,0.7250574113831654,0.08465320655876321,0.48809098528285666,0.24738155831601621,-0.004163161076987186,0.8028583403022611,0.09522662476816876,0.018046576022299622,0.33184484226450417,0.06368116243636082,0.06823767057226579,0.0032885512961213343,0.3349220515981017,-0.005421640664248898,-0.039123161953951116,-0.16921752485106428,0.08397058315873358,0.08910380513386307,-0.05021486691091713,0.5599288981270211,0.11382730255886431,0.39602252228923096,0.184084223838428,-0.012205399876407268,0.6148230368130135,0.12656943816822155,0.025765731945307447,0.276713814113401,0.09256573812475928,0.08588957130929115,-0.0006511501257101598,0.308051822520827,-0.01993304144208056,-0.03997889899688142,-0.19742207856905786,0.08427421238543768,0.08946857995344991,-0.053873577522667124,0.49108734418762,0.13108779192183748,0.36015617070410794,0.15117792553838724,-0.010682836434371049,0.5353390052773432,0.14738209920942394,0.03206063954543105,0.25663160373904986,0.1098972796254463,0.09974286473096698,-0.00568955386624164,0.30186416957454393,-0.024417854261171348,-0.041449873868972885,-0.21205769252599072,0.08440878683448509,0.08967285782625241,-0.05733137595805016,0.4557822886972872,0.1441422018713003,0.34369882936881035,0.13183153397677144,-0.008358701111024082,0.4951747014524593,0.16002946472067575,0.036461274273168254,0.2536606251758299,0.12450657294483129,0.10853505777015283,-0.00667593951590946,0.30166800794871507,-0.025877564164914726,-0.04168896144498656,-0.21985651880745685,0.08424717077811122,0.09058187423044031,-0.06102506364494221,0.3739988614462845,0.007706574314473677,0.005517626215732398,0.0038760493027779085,-0.00558808024829012,-0.0006994493010953932,0.007164165893805087,0.0028482590274681195,0.0013382796110332107,-0.00606854008057147,0.0031838382355710835,0.002996755906258588,0.005024527710090015,0.004704800497743796,-0.0008961975946042151,0.0046121262782173175,0.000675472866543121,0.002813201999918778,0.0028840580254827965,0.00030650492216394636,0.006275115412473878,0.0055499563207965785,0.002084956681806113,0.0011005712180236185,-0.005191176787694916,-3.9224822346903785e-05
PPG60_3,0.4734982520035438,0.09991206125423911,0.35848582089522835,0.010871603055037708,-0.029156498375036796,0.07932056727312647,1.0,0.012484012515560174,0.19725322001334927,0.04945798063452791,0.12899805232264308,-0.002478553891757205,0.25217042968683473,-0.12861619413950307,-0.09486284316111898,-0.11923191004995301,0.09768363393349824,0.0878448961239045,0.0909736502701165,0.4122735671222663,0.12838360386745695,0.3354048678259758,0.014558907396296698,-0.03382905983851604,0.10149214794536975,0.8076683310159337,0.015440950370412381,0.1823288092084391,0.06768518301332205,0.15776394752137507,-0.004820371705940392,0.24999646242650836,-0.14002975938135243,-0.10068488329737155,-0.1389414738215365,0.09911558068400583,0.09023532067483263,0.09140017405773503,0.3607292287780123,0.17083086911344444,0.32222184968096973,0.021506347710004866,-0.03918965620967047,0.13237327645541838,0.6271681898446582,0.018754804022532077,0.1783554759358825,0.10107757590125563,0.19359140348121956,-0.011974100196920766,0.25212245233359976,-0.14637524111530864,-0.10746878865942451,-0.1584621145477799,0.09932105737175413,0.09196343257552587,0.09015372974767218,0.34931036377691527,0.18555729912219784,0.3178628777944482,0.028986377902282333,-0.04603183565071261,0.15684746204265546,0.5590597616313857,0.018816184714535455,0.18582377427178626,0.11699627858198614,0.20108089801825327,-0.010761736084012924,0.2550595225415704,-0.1492994645069285,-0.10836988200904683,-0.1664092475418078,0.09783374468909625,0.09281201923137991,0.08982250300349469,0.3439269775430563,0.19885450653517298,0.318265978922523,0.029737537729309912,-0.050684771983526715,0.1740135698614301,0.5207394946489476,0.0212993675703835,0.19525645127672128,0.12947562516177272,0.21279945350765636,-0.015750564745324845,0.260133779919389,-0.15044197928095918,-0.11169756762574076,-0.17494758003968125,0.10005295466911202,0.09496702767514985,0.08875597458286201,0.22877109499833329,0.0053385940719440595,0.006242066822619394,0.00520319520711148,-0.003407610227903634,-0.001618384238030756,0.004039902038262639,0.00566945413400359,0.005023367457457366,-0.002356357064400602,0.0011198516169538095,0.004343639239850976,0.0028428239765089713,0.002081404978269644,-0.003782791803571447,0.0010646196832507686,0.0036932734502135274,0.00309247263814404,0.00255122147640325,-0.0024039873864979268,0.004389686921720103,0.005435006801930379,0.0044957870222723855,0.0037401090777162646,-0.004179911562343099,0.0028536955612461067
SHG60_3,0.173339537740104,0.011879738876305859,0.11293231610591091,0.07513324910320085,-0.0025585858411211588,0.014052649397829454,0.012484012515560174,1.0,0.0619269168645391,0.011761565787819707,-0.0017761045883247948,0.02152507945632774,0.056456997924082125,0.03304285284733605,-0.002310590926544356,-0.020919116780308274,0.05266434268192961,0.052602325194466074,-0.004773679280974717,0.14020467665855796,0.00876974068772312,0.08890179065196777,0.05976202760617802,-0.005929594163040662,0.02048378561371131,0.012371124731690743,0.7829436878010617,0.05240364296007163,0.008643829462733205,-0.003167862643033383,0.02530588855710982,0.05097115690642046,0.03239625027303768,0.00021337292566585148,-0.023509568010233583,0.05178907910590446,0.05146719321852093,-0.007351636236179077,0.10058113254216654,0.009588490882919522,0.06366665824319477,0.04239609277497773,-0.0076365178741960105,0.02059827527639423,0.010971849647023402,0.5679290091614535,0.03866259289056474,0.006878016361749538,0.0009737124878613843,0.0327488454870964,0.04240480731011829,0.030558746238856148,0.000691793041258537,-0.022678892485911553,0.05290041778836881,0.05234886491001171,-0.008310420322566917,0.08765332193945473,0.010816644687429832,0.055877133462836244,0.035641475628338165,-0.003714209006026399,0.025016120201229314,0.013558134921499265,0.47222696507773243,0.03223461620531519,0.008831866676309353,0.0019597853776124894,0.02986316623487907,0.041148369008606474,0.031828433447855804,0.000675762471905652,-0.02562781203167757,0.054364745719904746,0.0549980747294424,-0.008508876631545353,0.0796087462168305,0.014866490300483506,0.05328922163481405,0.034682984068759,-0.0003700330376922251,0.029993843627368434,0.01104542175070826,0.4138763513735339,0.029923098502407947,0.014282462680528102,0.002625856761643746,0.03094803443448939,0.0395113286260978,0.03296172634806409,0.0012831888875689047,-0.026983072875874387,0.054057355466621215,0.05478430694863899,-0.010092167077739052,0.07525964491189438,0.004223831887820815,0.010304945658892724,0.009701000795042795,-0.000858198924042464,0.0008584037571929887,0.00686157735478631,0.013644603538422222,0.01275022723923639,-0.0011488454604765275,0.0004124543543677527,0.0014605209937494754,0.009456378053275552,0.009770872676932146,0.0028708762097125295,2.8509588929289417e-05,0.0007708856680554147,0.008934268538500944,0.009447659778914853,0.0037480892508977887,-0.001981760762678981,0.001937912156766998,0.00937369653427827,0.009763897079366885,0.00334677090338441,0.0007105666957694674
GWG60_3,0.43194091327936973,0.0621909646676131,0.3055654768283942,0.17172891004755017,-0.010636570181538348,0.3951769176861067,0.19725322001334927,0.0619269168645391,1.0,0.04115114077538577,0.05857668723477042,0.006390823950710257,0.18783615479550805,-0.02854402437129184,-0.04078685151458044,-0.06925976977127903,0.059903336205299,0.05931932043033115,0.014203268755262184,0.3605896786681609,0.07046899370550445,0.2631985824889108,0.14022153846854055,-0.00895496990635329,0.3316219638796468,0.17608183959956286,0.04958186688658563,0.7886368201210899,0.04707124511148757,0.06729531485850128,0.003133297881173586,0.17818060172709657,-0.035836739309059604,-0.04339502902576273,-0.08267729384073641,0.05983007472830904,0.060561049554860004,0.012862134689792372,0.2911794811054072,0.09043679234907755,0.2274415210078662,0.11026643870999929,-0.0138543154491587,0.2672643396065365,0.16501434277047178,0.04043063604658099,0.5729491939665193,0.0646884744177723,0.08249860667836717,0.0005343220043763407,0.16566155801504762,-0.045199176158156475,-0.04558148967482347,-0.0983004477092293,0.061367225715025814,0.06094604555131794,0.015772847353871352,0.2619983747103494,0.09846692386354992,0.21120970866283412,0.09959636043529876,-0.012907864121547626,0.24224721716409536,0.1599495130235616,0.03623074745447115,0.48277491234791564,0.07561735695043653,0.08440094893040098,0.0010438483062450384,0.16172244272871017,-0.04839151124275776,-0.04548103675136619,-0.10205463172000234,0.05994051695321038,0.05961880357622481,0.01412449031900413,0.24721345043543286,0.10683787888790763,0.20516077986358455,0.09023662231113985,-0.013740322779764698,0.22854451955713445,0.16169299425117004,0.0352598589984504,0.4302144698372174,0.08442380702583044,0.0910618158700379,-0.0008267281237877075,0.16321879506762338,-0.05142698437884051,-0.04685924210451836,-0.10689644131733243,0.06239613566480708,0.06258098565318658,0.013346430621587323,0.18988448819669138,0.002545640083788952,0.0046076384651688364,0.004178530529325146,-0.0006732890213833753,-0.00010188614172887302,0.004467070078390798,0.004032357138006576,0.0032048983842123623,-0.0027280840433613622,0.0015425714018556763,0.002137399976555929,0.002690270496513956,0.0024022668534420047,-0.001088422008801004,0.0025136574441748066,0.003472984523521245,0.0038375474907930375,0.0033988221603307237,-0.0020252561456901006,0.0036535870705662406,0.006081335349336385,0.002064891498114297,0.0009676071258207688,-0.005879486438970871,-6.898317219607964e-06
EVA60_3,0.06391635287503446,0.8847625248120247,0.6941180574654332,0.39279087862377166,-0.019752012847706075,0.04859905515012525,0.04945798063452791,0.011761565787819707,0.04115114077538577,1.0,0.07700067550227982,0.0056810775065986,0.09682970117392074,-0.05289648650856337,-0.09128508466357059,-0.0907171491480107,0.06487651730522623,0.06305995448560563,0.06141057881144207,0.08499179694166102,0.6977360617168658,0.5532367866443262,0.3126996845067434,-0.026314108239961217,0.0642028738916018,0.06774079129565629,0.020925751455219598,0.055167764753348704,0.7911697174760084,0.09182862002964798,0.002294957557954141,0.11233620992484826,-0.0710550841675635,-0.09357921120269434,-0.1065004552288751,0.06374938457199854,0.06398544164981394,0.06002328761403594,0.11776624405333957,0.5207587798317561,0.4251485786204948,0.2396271316216588,-0.035697773352889914,0.09455412821060177,0.09348954065891987,0.020057271942132814,0.07327717679891504,0.5920820788695973,0.11440966039426416,0.004447765219466845,0.13183723254633628,-0.08710695041695805,-0.10016421193180948,-0.12374841455138426,0.06598081251913863,0.06886412521483923,0.05919054663569425,0.13310985168550404,0.4436944923297646,0.3703519544639075,0.20158028932964672,-0.042398568735067914,0.10930448114626927,0.10785711615592843,0.022178443443680394,0.08836084321276069,0.5057350068485681,0.12629515118710158,0.006025411668119273,0.1385406427020677,-0.08752698355813225,-0.10148622574320995,-0.13029390083943176,0.066329798349729,0.06946630736861395,0.052101600993263025,0.14229121984337909,0.4018032914557608,0.34064459834048305,0.18031418115476383,-0.044138430742601584,0.12078307001864413,0.11388441281021858,0.02230785890663486,0.0926651760326712,0.45733644622545705,0.13731166144705886,0.0020625244318474155,0.14341938422074102,-0.08772408848019457,-0.10188843419978517,-0.1313679354392275,0.06688813936848878,0.06985203091606966,0.051693002312177806,0.4722369078242809,0.010406825211820249,0.009852453984411355,0.007733256109887233,-0.00671947788212922,-0.0003250578222407423,0.010040651621745719,0.004820746275721793,0.002746393995325518,-0.008377094876400919,0.0047648808990878675,0.004006917227115707,0.00997179992494838,0.009762663796257827,0.00017872213327168706,0.0042922159880019375,-0.0006787080438254454,0.005376083163238819,0.005924751830740118,0.002476841542658032,0.006201390199510385,0.007303607669036347,0.004493907140630722,0.003347048952270616,-0.0061304267314797375,-0.00041085657308766356
