date,game_id,team,G,OT_flag,win_flag
2021-03-27,21514,BUF,2,,0
2021-03-27,21515,TBL,3,,0
2021-03-27,21516,WPG,2,,0
2021-03-27,21517,NSH,3,,1
2021-03-27,21518,VGK,3,OT,1
2021-03-27,21519,FLA,4,OT,1
2021-03-27,21520,CBJ,1,,0
2021-03-27,21521,NYR,1,,0
2021-03-27,21522,NYI,3,,0
2021-03-27,21523,EDM,3,OT,0
2021-03-28,21524,NJD,1,,1
2021-03-28,21525,NSH,3,,1
2021-03-28,21526,FLA,4,,1
2021-03-28,21527,CBJ,1,,0
2021-03-28,21528,ANA,3,OT,1
2021-03-28,21529,NYR,4,,0
2021-03-29,21530,PHI,4,OT,1
2021-03-29,21531,WPG,5,,1
2021-03-29,21532,ANA,2,,0
2021-03-29,21533,NYI,1,,0
2021-03-29,21534,MIN,3,SO,0
2021-03-29,21535,EDM,3,OT,1
2021-03-29,21536,LAK,1,,0
2021-03-30,21537,NJD,4,SO,0
2021-03-30,21538,CAR,1,,0
2021-03-30,21539,DET,1,,0
2021-03-30,21540,EDM,0,,0
2021-03-30,21541,DAL,2,OT,0
2021-03-30,21542,WSH,2,,0
2021-03-30,21543,CBJ,3,,1
2021-03-31,21544,PHI,1,,0
2021-03-31,21545,ARI,3,,0
2021-03-31,21546,MIN,2,,0
2021-03-31,21547,LAK,4,,1
2021-03-31,21548,TOR,3,,1
2021-04-01,21549,PIT,4,,1
2021-04-01,21550,NYR,3,OT,1
2021-04-01,21551,CAR,4,,1
2021-04-01,21552,DET,2,OT,0
2021-04-01,21553,DAL,4,,1
2021-04-01,21554,WSH,4,,0
2021-04-01,21555,MTL,4,,1
2021-04-01,21556,CBJ,2,,0
2021-04-01,21557,MIN,3,SO,1
2021-04-02,21558,ARI,4,,1
2021-04-02,21559,STL,2,,0
2021-04-02,21560,CGY,2,,0
2021-04-02,21561,SJS,3,,1
2021-04-02,21562,WSH,2,OT,1
2021-04-02,21563,TOR,2,SO,1
2021-04-03,21564,PIT,5,,0
2021-04-03,21565,NYR,2,SO,0
2021-04-03,21566,DAL,3,,1
2021-04-03,21567,STL,1,,0
2021-04-03,21568,CBJ,2,,0
2021-04-03,21569,SJS,3,,1
2021-04-03,21570,OTT,6,,1
2021-04-03,21571,CHI,0,,0
2021-04-03,21572,PHI,2,SO,0
2021-04-03,21573,DET,1,,0
2021-04-03,21574,MIN,2,,1
2021-04-04,21575,ARI,3,OT,1
2021-04-04,21576,DAL,0,,0
2021-04-04,21577,TOR,4,,1
2021-04-04,21578,CBJ,0,,0
2021-04-04,21579,WSH,5,,1
2021-04-04,21580,DET,5,,1
2021-04-05,21581,PHI,3,OT,1
2021-04-05,21582,TOR,5,,1
2021-04-05,21583,ARI,5,,1
2021-04-05,21584,COL,5,,1
2021-04-05,21585,EDM,2,OT,0
2021-04-05,21586,VGK,6,,1
2021-04-05,21587,OTT,3,,0
2021-04-06,21588,FLA,2,,0
2021-04-06,21589,TBL,2,,0
2021-04-06,21590,DAL,2,,0
2021-04-06,21591,NSH,3,SO,1
2021-04-06,21592,BUF,5,,1
2021-04-06,21593,WSH,0,,0
2021-04-06,21594,PIT,4,,0
2021-04-06,21595,BOS,4,,1
2021-04-06,21596,ANA,5,,1
2021-04-07,21597,ARI,3,,0
2021-04-07,21598,COL,3,,0
2021-04-07,21599,EDM,4,,1
2021-04-07,21600,VGK,1,,0
2021-04-07,21601,MTL,2,,0
2021-04-08,21602,NJD,6,,1
2021-04-08,21603,FLA,0,,0
2021-04-08,21604,TBL,6,,1
2021-04-08,21605,DAL,5,,1
2021-04-08,21606,NSH,7,,1
2021-04-08,21607,WPG,4,,1
2021-04-08,21608,PHI,2,SO,0
2021-04-08,21609,PIT,5,,1
2021-04-08,21610,EDM,3,,1
2021-04-08,21611,BOS,4,,1
2021-04-09,21612,COL,2,,1
2021-04-09,21613,WSH,4,,1
2021-04-09,21614,PIT,6,,1
2021-04-09,21615,NYR,4,,1
2021-04-09,21616,LAK,2,,0
2021-04-09,21617,MIN,1,,0
2021-04-09,21618,ARI,4,,0
2021-04-10,21619,DET,5,SO,1
2021-04-10,21620,CHI,4,,1
2021-04-10,21621,EDM,0,,0
2021-04-10,21622,FLA,1,,0
2021-04-10,21623,WPG,5,,1
2021-04-10,21624,TBL,3,,1
2021-04-10,21625,BOS,2,,0
2021-04-10,21626,LAK,4,,1
2021-04-10,21627,MIN,2,OT,0
2021-04-10,21628,OTT,5,,0
2021-04-11,21629,COL,4,,1
2021-04-11,21630,WSH,8,,1
2021-04-11,21631,PIT,5,,1
2021-04-11,21632,DAL,2,SO,0
2021-04-11,21633,NYR,2,OT,0
2021-04-11,21634,BUF,5,,1
2021-04-11,21635,ARI,0,,0
2021-04-12,21636,DET,3,,1
2021-04-12,21637,CHI,4,OT,1
2021-04-12,21638,ARI,2,,0
2021-04-12,21639,VGK,4,,1
2021-04-12,21640,TOR,2,,0
2021-04-12,21641,WPG,2,,0
2021-04-12,21642,ANA,4,,1
2021-04-13,21643,BUF,2,SO,0
2021-04-13,21644,FLA,3,OT,1
2021-04-13,21645,NYR,3,,1
2021-04-13,21646,TBL,2,,0
2021-04-13,21647,CGY,3,OT,1
2021-04-13,21648,PHI,1,,0
2021-04-14,21649,VGK,6,,1
2021-04-14,21650,ARI,2,,0
2021-04-14,21651,CGY,4,,1
2021-04-14,21652,WPG,3,,1
2021-04-14,21653,ANA,4,,1
2021-04-14,21654,COL,4,,1
2021-04-15,21655,NYI,1,,0
2021-04-15,21656,NSH,1,,0
2021-04-15,21657,CBJ,1,,0
2021-04-15,21658,CHI,1,,0
2021-04-15,21659,NJD,0,,0
2021-04-15,21660,PHI,2,SO,1
2021-04-15,21661,FLA,2,OT,0
2021-04-15,21662,WPG,5,,1
2021-04-15,21663,BUF,5,,1
2021-04-16,21664,VGK,4,,1
2021-04-16,21665,NYI,0,,0
2021-04-16,21666,SJS,2,,0
2021-04-16,21667,CGY,1,,0
2021-04-17,21668,STL,2,,0
2021-04-17,21669,PIT,3,,1
2021-04-17,21670,NSH,1,,0
2021-04-17,21671,CBJ,1,,0
2021-04-17,21672,CHI,4,,1
2021-04-17,21673,SJS,2,,0
2021-04-17,21674,OTT,4,,1
2021-04-17,21675,NJD,3,,0
2021-04-17,21676,WSH,6,,1
2021-04-17,21677,FLA,5,,1
2021-04-17,21678,EDM,3,,1
2021-04-18,21679,VGK,5,,1
2021-04-18,21680,WSH,3,,0
2021-04-18,21681,PIT,2,,0
2021-04-18,21682,NYR,5,,1
2021-04-18,21683,NYI,1,OT,1
2021-04-18,21684,TOR,2,OT,0
2021-04-19,21685,MIN,5,,1
2021-04-19,21686,OTT,4,,1
2021-04-19,21687,DET,2,SO,0
2021-04-19,21688,MTL,1,,0
2021-04-19,21689,CBJ,2,,0
2021-04-19,21690,CHI,2,,0
2021-04-19,21691,CAR,2,OT,0
2021-04-19,21692,SJS,2,SO,0
2021-04-20,21693,BOS,2,,1
2021-04-20,21694,DET,2,,0
2021-04-20,21695,CBJ,1,,0
2021-04-20,21696,ANA,1,,0
2021-04-20,21697,NYR,1,,0
2021-04-20,21698,NJD,6,,0
2021-04-20,21699,CAR,4,,1
2021-04-20,21700,TOR,3,,0
2021-04-21,21701,MIN,4,,1
2021-04-21,21702,NSH,4,OT,0
2021-04-21,21703,MTL,4,,1
2021-04-21,21704,SJS,2,,0
2021-04-22,21705,BOS,5,,1
2021-04-22,21706,DAL,3,,0
2021-04-22,21707,CAR,4,,1
2021-04-22,21708,WSH,1,SO,1
2021-04-22,21709,PHI,3,,1
2021-04-22,21710,NJD,1,,0
2021-04-22,21711,COL,4,,1
2021-04-22,21712,CBJ,1,,0
2021-04-22,21713,OTT,3,,1
2021-04-22,21714,TOR,5,,1
2021-04-23,21715,BOS,4,,0
2021-04-23,21716,MTL,2,,0
2021-04-23,21717,NSH,3,,1
2021-04-23,21718,MIN,4,,1
2021-04-23,21719,PHI,1,,0
2021-04-24,21720,VGK,5,,1
2021-04-24,21721,MTL,2,,0
2021-04-24,21722,DAL,2,OT,1
2021-04-24,21723,CAR,3,OT,0
2021-04-24,21724,ARI,4,,1
2021-04-24,21725,WSH,6,,1
2021-04-24,21726,NJD,2,,0
2021-04-24,21727,MIN,6,,1
2021-04-24,21728,COL,3,,0
2021-04-24,21729,OTT,2,,0
2021-04-24,21730,TOR,4,,1
2021-04-25,21731,BUF,3,,0
2021-04-25,21732,NJD,3,SO,0
2021-04-25,21733,BOS,0,,0
2021-04-25,21734,CBJ,3,OT,0
2021-04-26,21735,MTL,2,,1
2021-04-26,21736,CAR,3,OT,0
2021-04-26,21737,ANA,1,,0
2021-04-26,21738,FLA,1,,0
2021-04-26,21739,VAN,1,,0
2021-04-26,21740,ARI,4,,0
2021-04-26,21741,COL,1,,0
2021-04-26,21742,EDM,6,,1
2021-04-27,21743,DET,0,SO,0
2021-04-27,21744,TBL,7,,1
2021-04-27,21745,CAR,5,,1
2021-04-27,21746,PHI,4,,0
2021-04-27,21747,FLA,7,,1
2021-04-27,21748,BUF,1,,0
2021-04-27,21749,BOS,3,,1
2021-04-27,21750,NYI,0,,0
2021-04-28,21751,ANA,3,,1
2021-04-28,21752,STL,4,,1
2021-04-28,21753,TOR,4,,1
2021-04-28,21754,VAN,3,,0
2021-04-28,21755,ARI,2,,0
2021-04-28,21756,COL,2,,0
2021-04-28,21757,EDM,3,,1
2021-04-29,21758,BUF,2,,0
2021-04-29,21759,DET,1,,0
2021-04-29,21760,FLA,4,OT,1
2021-04-29,21761,CGY,3,,1
2021-04-29,21762,STL,5,OT,1
2021-04-29,21763,PHI,3,,0
2021-04-29,21764,NYI,4,,1
2021-04-29,21765,DAL,0,,0
2021-04-29,21766,VAN,1,,0
2021-04-29,21767,PIT,5,OT,1
2021-04-30,21768,LAK,2,,1
2021-04-30,21769,VGK,0,,0
2021-04-30,21770,SJS,0,,0
2021-04-30,21771,WPG,3,,0
2021-05-01,21772,LAK,2,,0
2021-05-01,21773,VGK,3,OT,1
2021-05-01,21774,BUF,2,,0
2021-05-01,21775,CBJ,1,OT,0
2021-05-01,21776,FLA,5,,1
2021-05-01,21777,SJS,3,,0
2021-05-01,21778,TBL,0,SO,0
2021-05-01,21779,CGY,1,,0
2021-05-01,21780,STL,3,OT,0
2021-05-01,21781,OTT,2,OT,0
2021-05-01,21782,DAL,0,OT,0
2021-05-01,21783,NYR,0,,0
2021-05-01,21784,NJD,4,,1
2021-05-01,21785,VAN,1,,0
2021-05-01,21786,PIT,3,,1
2021-05-02,21787,TBL,2,,1
2021-05-03,21788,LAK,3,,1
2021-05-03,21789,NYI,2,,0
2021-05-03,21790,CHI,2,,0
2021-05-03,21791,NSH,4,OT,1
2021-05-03,21792,DAL,4,OT,0
2021-05-03,21793,VGK,5,,0
2021-05-03,21794,TOR,2,OT,0
2021-05-03,21795,BOS,3,,1
2021-05-03,21796,WSH,6,,1
2021-05-03,21797,WPG,1,,0
2021-05-03,21798,PIT,2,,0
2021-05-03,21799,COL,5,OT,1
2021-05-03,21800,ANA,1,,0
2021-05-03,21801,EDM,5,,1
2021-05-04,21802,NYI,3,SO,0
2021-05-04,21803,CHI,3,,0
2021-05-04,21804,BOS,3,OT,0
2021-05-04,21805,PIT,7,,1
2021-05-04,21806,EDM,4,,1
2021-05-05,21807,LAK,4,,1
2021-05-05,21808,NSH,2,,0
2021-05-05,21809,WPG,4,,1
2021-05-05,21810,VGK,3,OT,1
2021-05-05,21811,WSH,4,,1
2021-05-05,21812,MTL,1,,0
2021-05-05,21813,COL,2,,0
2021-05-05,21814,ANA,3,SO,1
2021-05-05,21815,DAL,2,,0
2021-05-06,21816,NYR,0,,0
2021-05-06,21817,CHI,2,OT,1
2021-05-06,21818,VAN,6,,1
2021-05-06,21819,NJD,2,,1
2021-05-06,21820,BUF,4,,0
2021-05-06,21821,MTL,2,,0
2021-05-07,21822,DET,5,,1
2021-05-07,21823,COL,3,,1
2021-05-07,21824,ANA,3,OT,0
2021-05-07,21825,ARI,5,,1
2021-05-07,21826,DAL,5,,1
2021-05-07,21827,STL,3,OT,0
2021-05-07,21828,PHI,4,,1
2021-05-08,21829,NYR,5,,1
2021-05-08,21830,DET,4,OT,0
2021-05-08,21831,VAN,3,,0
2021-05-08,21832,TBL,1,,0
2021-05-08,21833,COL,3,,1
2021-05-08,21834,ANA,3,OT,0
2021-05-08,21835,CAR,1,,0
2021-05-08,21836,NJD,1,,0
2021-05-08,21837,BUF,0,,0
2021-05-08,21838,ARI,5,OT,1
2021-05-08,21839,MTL,2,,0
2021-05-08,21840,STL,1,,0
2021-05-08,21841,OTT,4,,1
2021-05-08,21842,PHI,1,OT,0
2021-05-09,21843,OTT,1,,0
2021-05-09,21844,DAL,2,,0
2021-05-10,21845,NYI,2,OT,0
2021-05-10,21846,DAL,5,OT,1
2021-05-10,21847,TBL,0,,0
2021-05-10,21848,STL,2,OT,1
2021-05-10,21849,EDM,4,OT,1
2021-05-10,21850,CAR,0,,0
2021-05-10,21851,NJD,2,,0
2021-05-10,21852,COL,2,,1
2021-05-10,21853,VAN,3,,1
2021-05-11,21854,VAN,0,,0
2021-05-11,21855,BOS,1,,0
2021-05-12,21856,LAK,0,,0
2021-05-12,21857,EDM,4,OT,1
2021-05-12,21858,TOR,3,OT,0
2021-05-12,21859,VGK,6,,1
2021-05-12,21860,MIN,0,,0
2021-05-13,21861,VAN,1,,0
2021-05-13,21862,LAK,1,,0
2021-05-13,21863,MIN,3,,0
2021-05-14,21864,TOR,2,,0
2021-05-15,21865,VAN,4,,1
2021-05-16,21866,CGY,6,OT,1
2021-05-18,21867,CGY,2,,0
2021-05-19,21868,VAN,2,,0
