player_id,player_name,age,season,game_num,date,team,opponent,home_away_status,result,decision,GA,SA,SV,SV_perc,shutout,PIM,TOI
/a/anderfr01,Frederik Andersen,31,2021,10,2021-02-06,TOR,VAN,1,W,W,1,28,27,0.964,0,0,59.96666666666667
/a/anderfr01,Frederik Andersen,31,2021,11,2021-02-08,TOR,VAN,1,W,W,1,32,31,0.969,0,0,59.48333333333333
/a/anderfr01,Frederik Andersen,31,2021,12,2021-02-10,TOR,MTL,0,W,W,2,35,33,0.943,0,0,60.0
/a/anderfr01,Frederik Andersen,31,2021,13,2021-02-13,TOR,MTL,1,L,L,2,25,23,0.92,0,0,58.46666666666667
/a/anderfr01,Frederik Andersen,31,2021,14,2021-02-15,TOR,OTT,1,L-OT,O,6,31,25,0.8059999999999999,0,0,61.76666666666666
/a/anderfr01,Frederik Andersen,31,2021,15,2021-02-17,TOR,OTT,1,W,W,1,28,27,0.964,0,0,60.0
/a/anderfr01,Frederik Andersen,31,2021,16,2021-02-20,TOR,MTL,0,W,W,3,33,30,0.909,0,0,59.7
/a/anderfr01,Frederik Andersen,31,2021,17,2021-03-03,TOR,EDM,0,W,W,1,27,26,0.963,0,0,59.85
/a/anderfr01,Frederik Andersen,31,2021,18,2021-03-06,TOR,VAN,0,L,L,4,31,27,0.871,0,0,58.33333333333334
/a/anderfr01,Frederik Andersen,31,2021,19,2021-03-09,TOR,WPG,1,L,L,4,23,19,0.826,0,0,56.55
/a/anderfr01,Frederik Andersen,31,2021,20,2021-03-11,TOR,WPG,1,W,W,3,27,24,0.889,0,0,60.98333333333333
/a/anderfr01,Frederik Andersen,31,2021,21,2021-03-13,TOR,WPG,1,L,L,5,32,27,0.8440000000000001,0,0,59.85
/a/anderfr01,Frederik Andersen,31,2021,22,2021-03-14,TOR,OTT,0,L,L,2,28,26,0.929,0,0,49.58333333333334
/a/anderfr01,Frederik Andersen,31,2021,23,2021-03-19,TOR,CGY,1,L,L,4,18,14,0.778,0,0,58.03333333333333
/a/anderfr01,Frederik Andersen,31,2021,24,2021-05-12,TOR,OTT,0,L-OT,O,4,28,24,0.857,0,0,59.43333333333333
/b/bernijo01,Jonathan Bernier,32,2021,1,2021-01-16,DET,CAR,1,W,W,2,31,29,0.935,0,0,59.91666666666666
/b/bernijo01,Jonathan Bernier,32,2021,2,2021-01-19,DET,CBJ,1,W,W,2,24,22,0.917,0,0,60.25
/b/bernijo01,Jonathan Bernier,32,2021,3,2021-01-24,DET,CHI,0,L,L,6,35,29,0.8290000000000001,0,0,59.86666666666667
/b/bernijo01,Jonathan Bernier,32,2021,4,2021-01-28,DET,DAL,0,L,,3,19,16,0.8420000000000001,0,0,40.0
/b/bernijo01,Jonathan Bernier,32,2021,5,2021-02-13,DET,NSH,0,W,W,2,23,21,0.913,0,0,59.86666666666667
/b/bernijo01,Jonathan Bernier,32,2021,6,2021-02-17,DET,CHI,1,L,L,1,25,24,0.96,0,0,58.75
/b/bernijo01,Jonathan Bernier,32,2021,7,2021-02-19,DET,FLA,1,L,,3,26,23,0.885,0,0,39.833333333333336
/b/bernijo01,Jonathan Bernier,32,2021,8,2021-02-20,DET,FLA,1,W,W,1,39,38,0.974,0,0,60.0
/b/bernijo01,Jonathan Bernier,32,2021,9,2021-02-23,DET,NSH,1,L,L,2,33,31,0.939,0,0,57.43333333333333
/b/bernijo01,Jonathan Bernier,32,2021,10,2021-02-25,DET,NSH,1,W,W,2,39,37,0.949,0,0,60.0
/b/bernijo01,Jonathan Bernier,32,2021,11,2021-02-27,DET,CHI,0,W,W,3,36,33,0.917,0,0,59.28333333333333
/b/bernijo01,Jonathan Bernier,32,2021,12,2021-03-02,DET,CBJ,0,L,L,4,27,23,0.852,0,0,40.0
/b/bernijo01,Jonathan Bernier,32,2021,13,2021-03-04,DET,CAR,0,L,L,4,31,27,0.871,0,0,59.68333333333333
/b/bernijo01,Jonathan Bernier,32,2021,14,2021-03-11,DET,TBL,1,W,W,4,44,40,0.909,0,0,60.0
/b/bernijo01,Jonathan Bernier,32,2021,15,2021-03-14,DET,CAR,1,L,L,2,32,30,0.938,0,0,56.06666666666667
/b/bernijo01,Jonathan Bernier,32,2021,16,2021-03-16,DET,CAR,1,W,W,2,37,35,0.946,0,0,59.95
/b/bernijo01,Jonathan Bernier,32,2021,17,2021-03-18,DET,DAL,1,W,,0,22,22,1.0,0,0,38.53333333333333
/b/bernijo01,Jonathan Bernier,32,2021,18,2021-04-08,DET,NSH,1,L,L,7,32,25,0.7809999999999999,0,0,59.8
/b/bernijo01,Jonathan Bernier,32,2021,19,2021-04-12,DET,CAR,0,W,W,1,38,37,0.974,0,0,59.95
/b/bernijo01,Jonathan Bernier,32,2021,20,2021-04-17,DET,CHI,1,L,L,3,26,23,0.885,0,0,58.33333333333334
/b/bernijo01,Jonathan Bernier,32,2021,21,2021-04-20,DET,DAL,0,L,L,4,12,8,0.667,0,0,23.6
/b/bernijo01,Jonathan Bernier,32,2021,22,2021-04-24,DET,DAL,1,L-OT,O,2,52,50,0.962,0,0,60.53333333333333
/b/bernijo01,Jonathan Bernier,32,2021,23,2021-04-29,DET,CAR,0,L,L,3,32,29,0.906,0,0,56.21666666666667
/b/bernijo01,Jonathan Bernier,32,2021,24,2021-05-02,DET,TBL,1,L,L,2,42,40,0.952,0,0,58.58333333333334
/b/binnijo01,Jordan Binnington,27,2021,1,2021-01-13,STL,COL,0,W,W,1,27,26,0.963,0,0,60.0
/b/binnijo01,Jordan Binnington,27,2021,2,2021-01-15,STL,COL,0,L,L,4,24,20,0.833,0,0,40.0
/b/binnijo01,Jordan Binnington,27,2021,3,2021-01-18,STL,SJS,1,W,W,4,26,22,0.846,0,0,60.0
/b/binnijo01,Jordan Binnington,27,2021,4,2021-01-20,STL,SJS,1,L-SO,O,1,38,37,0.974,0,0,65.0
/b/binnijo01,Jordan Binnington,27,2021,5,2021-01-23,STL,LAK,1,W,W,2,23,21,0.913,0,0,59.86666666666667
/b/binnijo01,Jordan Binnington,27,2021,6,2021-01-26,STL,VGK,0,W,W,4,46,42,0.913,0,0,65.0
/b/binnijo01,Jordan Binnington,27,2021,7,2021-01-30,STL,ANA,0,W,W,1,24,23,0.958,0,0,60.0
/b/binnijo01,Jordan Binnington,27,2021,8,2021-02-02,STL,ARI,1,W,W,3,35,32,0.914,0,0,60.0
/b/binnijo01,Jordan Binnington,27,2021,9,2021-02-04,STL,ARI,1,L,L,3,29,26,0.897,0,0,55.68333333333333
/b/binnijo01,Jordan Binnington,27,2021,10,2021-02-08,STL,ARI,1,L-SO,O,3,26,23,0.885,0,0,64.78333333333333
