date_game,team,ml_odds
2021-01-28,FLA,-108
2021-01-28,CBJ,-112
2021-01-28,NYI,-133
2021-01-28,WSH,113
2021-01-28,CGY,113
2021-01-28,MTL,-133
2021-01-28,NYR,-110
2021-01-28,BUF,-110
2021-01-28,LAK,132
2021-01-28,MIN,-152
2021-01-28,DET,166
2021-01-28,DAL,-195
2021-01-28,ANA,120
2021-01-28,ARI,-140
2021-01-28,SJS,207
2021-01-28,COL,-250
2021-01-28,TOR,-135
2021-01-28,EDM,115
2021-01-28,OTT,130
2021-01-28,VAN,-150
2021-01-29,CBJ,-115
2021-01-29,CHI,-105
2021-01-30,NJD,123
2021-01-30,BUF,-143
2021-01-30,DAL,108
2021-01-30,CAR,-128
2021-01-30,NYI,-103
2021-01-30,PHI,-117
2021-01-30,NSH,148
2021-01-30,TBL,-170
2021-01-30,BOS,-143
2021-01-30,WSH,123
2021-01-30,CGY,113
2021-01-30,MTL,-133
2021-01-30,TOR,-127
2021-01-30,EDM,107
2021-01-30,FLA,-175
2021-01-30,DET,151
2021-01-30,PIT,-108
2021-01-30,NYR,-112
2021-01-30,COL,-145
2021-01-30,MIN,125
2021-01-30,STL,-165
2021-01-30,ANA,144
2021-01-30,VAN,102
2021-01-30,WPG,-122
2021-01-31,NJD,139
2021-01-31,BUF,-159
2021-01-31,DAL,119
2021-01-31,CAR,-139
2021-01-31,FLA,-185
2021-01-31,DET,160
2021-01-31,NYI,110
2021-01-31,PHI,-130
2021-01-31,CBJ,-130
2021-01-31,CHI,110
2021-01-31,COL,-160
2021-01-31,MIN,140
2021-01-31,STL,-165
2021-01-31,ANA,144
2021-01-31,OTT,180
2021-01-31,EDM,-215
2021-02-01,VAN,139
2021-02-01,MTL,-159
2021-02-01,BOS,-145
2021-02-01,WSH,125
2021-02-01,NSH,151
2021-02-01,TBL,-175
2021-02-01,PIT,-111
2021-02-01,NYR,-109
2021-02-01,CGY,-120
2021-02-01,WPG,100
2021-02-02,DAL,-115
2021-02-02,CBJ,-105
2021-02-02,VAN,135
2021-02-02,MTL,-155
2021-02-02,ARI,144
2021-02-02,STL,-165
2021-02-02,CGY,-1210
2021-02-02,WPG,760
2021-02-02,CAR,-185
2021-02-02,CHI,160
2021-02-02,MIN,152
2021-02-02,COL,-177
2021-02-02,OTT,184
2021-02-02,EDM,-220
2021-02-02,ANA,-101
2021-02-02,LAK,-118
2021-02-03,DET,267
2021-02-03,TBL,-330
2021-02-03,BOS,-127
2021-02-03,PHI,107
2021-02-04,NSH,107
2021-02-04,FLA,-127
2021-02-04,VAN,155
2021-02-04,TOR,-180
2021-02-04,OTT,218
2021-02-04,MTL,-265
2021-02-04,WSH,-102
2021-02-04,NYR,-118
2021-02-04,DAL,-117
2021-02-04,CBJ,-103
2021-02-04,CGY,-125
2021-02-04,WPG,105
2021-02-04,CAR,-180
2021-02-04,CHI,155
2021-02-04,ARI,144
2021-02-04,STL,-165
2021-02-05,BOS,-138
2021-02-05,PHI,118
2021-02-05,NSH,-103
2021-02-05,FLA,-117
2021-02-05,DET,289
2021-02-05,TBL,-360
2021-02-05,SJS,-105
2021-02-05,ANA,-115
2021-02-05,LAK,180
2021-02-05,VGK,-215
2021-02-06,MTL,-265
2021-02-06,OTT,218
2021-02-06,PIT,-110
2021-02-06,NYI,-110
2021-02-06,VAN,163
2021-02-06,TOR,-190
2021-02-06,SJS,-107
2021-02-06,ANA,-113
2021-02-06,EDM,-110
2021-02-06,CGY,-110
2021-02-06,ARI,135
2021-02-06,STL,-155
2021-02-07,PHI,-105
2021-02-07,WSH,-115
2021-02-07,DET,199
2021-02-07,FLA,-240
2021-02-07,CAR,-145
2021-02-07,CBJ,125
2021-02-07,LAK,215
2021-02-07,VGK,-260
2021-02-07,CHI,151
2021-02-07,DAL,-175
2021-02-08,CAR,-140
2021-02-08,CBJ,120
2021-02-08,NYI,-108
2021-02-08,NYR,-112
2021-02-08,EDM,-180
2021-02-08,OTT,155
2021-02-08,VAN,172
2021-02-08,TOR,-205
2021-02-08,TBL,-153
2021-02-08,NSH,133
2021-02-08,ARI,130
2021-02-08,STL,-150
2021-02-09,EDM,-205
2021-02-09,OTT,172
2021-02-09,DET,176
2021-02-09,FLA,-210
2021-02-09,TBL,-170
2021-02-09,NSH,148
2021-02-09,CHI,135
2021-02-09,DAL,-155
2021-02-09,SJS,-113
2021-02-09,LAK,-107
2021-02-09,ANA,199
2021-02-09,VGK,-240
2021-02-09,WPG,115
2021-02-09,CGY,-135
2021-02-10,BOS,-155
2021-02-10,NYR,135
2021-02-10,TOR,-101
2021-02-10,MTL,-119
2021-02-11,EDM,120
2021-02-11,MTL,-140
2021-02-11,PIT,-105
2021-02-11,NYI,-115
2021-02-11,TBL,-165
2021-02-11,FLA,144
2021-02-11,OTT,166
2021-02-11,WPG,-195
2021-02-11,DET,184
2021-02-11,NSH,-220
2021-02-11,CBJ,-110
2021-02-11,CHI,-110
2021-02-11,CAR,-118
2021-02-11,DAL,-102
2021-02-11,SJS,-108
2021-02-11,LAK,-112
2021-02-11,ANA,192
2021-02-11,VGK,-230
2021-02-11,CGY,-130
2021-02-11,VAN,110
2021-02-12,BOS,-177
2021-02-12,NYR,152
2021-02-12,STL,-130
2021-02-12,ARI,110
2021-02-13,OTT,172
2021-02-13,WPG,-205
