Unnamed: 0,date_recorded,time_recorded,game_id,date_game,time_game,team,ml_odds
78.0,2023-02-18,10:13:32,40,2023-02-18,19:00:00,WAS Capitals,+170
79.0,2023-02-18,10:13:32,40,2023-02-18,19:00:00,CAR Hurricanes,−200
80.0,2023-02-18,10:13:32,41,2023-02-18,21:00:00,NY Rangers,+120
81.0,2023-02-18,10:13:32,41,2023-02-18,21:00:00,CGY Flames,−140
82.0,2023-02-18,10:13:32,42,2023-02-18,21:00:00,PHI Flyers,+100
83.0,2023-02-18,10:13:32,42,2023-02-18,21:00:00,VAN Canucks,−120
84.0,2023-02-18,10:13:32,43,2023-02-18,21:30:00,DET Red Wings,+145
85.0,2023-02-18,10:13:32,43,2023-02-18,21:30:00,SEA Kraken,−170
86.0,2023-02-18,10:13:32,44,2023-02-18,21:30:00,BUF Sabres,−125
87.0,2023-02-18,10:13:32,44,2023-02-18,21:30:00,SJ Sharks,+105
88.0,2023-02-18,10:13:32,45,2023-02-18,21:38:00,ARI Coyotes,+195
89.0,2023-02-18,10:13:32,45,2023-02-18,21:38:00,LA Kings,−230
90.0,2023-02-18,10:13:32,46,2023-02-18,21:38:00,TB Lightning,−125
91.0,2023-02-18,10:13:32,46,2023-02-18,21:38:00,VGK Golden Knights,+105
92.0,2023-02-19,11:33:35,47,2023-02-19,13:00:00,NSH Predators,+160
93.0,2023-02-19,11:33:35,47,2023-02-19,13:00:00,MIN Wild,−190
94.0,2023-02-19,11:33:35,48,2023-02-19,13:00:00,STL Blues,+150
95.0,2023-02-19,11:33:35,48,2023-02-19,13:00:00,OTT Senators,−175
96.0,2023-02-19,11:33:35,49,2023-02-19,14:00:00,EDM Oilers,−110
97.0,2023-02-19,11:33:35,49,2023-02-19,14:00:00,COL Avalanche,−110
98.0,2023-02-19,11:33:35,50,2023-02-19,17:00:00,TOR Maple Leafs,−295
99.0,2023-02-19,11:33:35,50,2023-02-19,17:00:00,CHI Blackhawks,+245
100.0,2023-02-19,11:35:35,51,2023-02-19,18:00:00,WPG Jets,+105
101.0,2023-02-19,11:35:35,51,2023-02-19,18:00:00,NJ Devils,−125
102.0,2023-02-19,11:35:35,52,2023-02-19,19:38:00,CBJ Blue Jackets,+105
103.0,2023-02-19,11:35:35,52,2023-02-19,19:38:00,ARI Coyotes,−125
104.0,2023-02-20,10:06:07,53,2023-02-20,12:00:00,OTT Senators,+280
105.0,2023-02-20,10:06:07,53,2023-02-20,12:00:00,BOS Bruins,−340
106.0,2023-02-20,10:06:07,54,2023-02-20,12:00:00,ANA Ducks,+330
107.0,2023-02-20,10:06:07,54,2023-02-20,12:00:00,FLA Panthers,−410
108.0,2023-02-20,10:06:07,55,2023-02-20,15:00:00,SEA Kraken,−150
109.0,2023-02-20,10:06:07,55,2023-02-20,15:00:00,SJ Sharks,+130
