player_id,name,home,away,date_recorded,time_recorded,date_game,odds
,janis moser,FLA,ARI,2024-01-24,10:46:33,2024-01-24,1000
,oliver ekman larsson,FLA,ARI,2024-01-24,10:46:33,2024-01-24,1000
,juuso valimaki,FLA,ARI,2024-01-24,10:46:33,2024-01-24,1200
,niko mikkola,FLA,ARI,2024-01-24,10:46:33,2024-01-24,1300
,dmitry kulikov,FLA,ARI,2024-01-24,10:46:33,2024-01-24,1500
,travis dermott,FLA,ARI,2024-01-24,10:46:33,2024-01-24,1500
,michael kesselring,FLA,ARI,2024-01-24,10:46:33,2024-01-24,1600
,josh brown,FLA,ARI,2024-01-24,10:46:33,2024-01-24,2200
,auston matthews,TOR,WPG,2024-01-24,10:46:33,2024-01-24,-115
,william nylander,TOR,WPG,2024-01-24,10:46:33,2024-01-24,125
,kyle connor,TOR,WPG,2024-01-24,10:46:33,2024-01-24,140
,mitchell marner,TOR,WPG,2024-01-24,10:46:33,2024-01-24,145
,nikolaj ehlers,TOR,WPG,2024-01-24,10:46:33,2024-01-24,170
,john tavares,TOR,WPG,2024-01-24,10:46:33,2024-01-24,175
,cole perfetti,TOR,WPG,2024-01-24,10:46:33,2024-01-24,285
,adam lowry,TOR,WPG,2024-01-24,10:46:33,2024-01-24,290
,nino niederreiter,TOR,WPG,2024-01-24,10:46:33,2024-01-24,300
,vladislav namestnikov,TOR,WPG,2024-01-24,10:46:33,2024-01-24,330
,calle jarnkrok,TOR,WPG,2024-01-24,10:46:33,2024-01-24,350
,alex iafallo,TOR,WPG,2024-01-24,10:46:33,2024-01-24,350
,matthew knies,TOR,WPG,2024-01-24,10:46:33,2024-01-24,360
,josh morrissey,TOR,WPG,2024-01-24,10:46:33,2024-01-24,425
,mason appleton,TOR,WPG,2024-01-24,10:46:33,2024-01-24,425
,pontus holmberg,TOR,WPG,2024-01-24,10:46:33,2024-01-24,425
,morgan rielly,TOR,WPG,2024-01-24,10:46:33,2024-01-24,450
,nicholas robertson,TOR,WPG,2024-01-24,10:46:33,2024-01-24,475
,max domi,TOR,WPG,2024-01-24,10:46:33,2024-01-24,500
,morgan barron,TOR,WPG,2024-01-24,10:46:33,2024-01-24,600
,noah gregor,TOR,WPG,2024-01-24,10:46:33,2024-01-24,650
,david kampf,TOR,WPG,2024-01-24,10:46:33,2024-01-24,700
,neal pionk,TOR,WPG,2024-01-24,10:46:33,2024-01-24,700
,bobby mcmann,TOR,WPG,2024-01-24,10:46:33,2024-01-24,750
,dominic toninato,TOR,WPG,2024-01-24,10:46:33,2024-01-24,800
,rasmus kupari,TOR,WPG,2024-01-24,10:46:33,2024-01-24,850
,axel jonsson fjallby,TOR,WPG,2024-01-24,10:46:33,2024-01-24,900
,nate schmidt,TOR,WPG,2024-01-24,10:46:33,2024-01-24,1000
,jake mccabe,TOR,WPG,2024-01-24,10:46:33,2024-01-24,1000
,timothy liljegren,TOR,WPG,2024-01-24,10:46:33,2024-01-24,1000
,dylan demelo,TOR,WPG,2024-01-24,10:46:33,2024-01-24,1200
,brenden dillon,TOR,WPG,2024-01-24,10:46:33,2024-01-24,1200
,tj brodie,TOR,WPG,2024-01-24,10:46:33,2024-01-24,1300
,simon benoit,TOR,WPG,2024-01-24,10:46:33,2024-01-24,1400
,dylan samberg,TOR,WPG,2024-01-24,10:46:33,2024-01-24,1700
,david pastrnak,BOS,CAR,2024-01-24,10:46:33,2024-01-24,-130
,sebastian aho (car),BOS,CAR,2024-01-24,10:46:33,2024-01-24,150
,brad marchand,BOS,CAR,2024-01-24,10:46:33,2024-01-24,165
,seth jarvis,BOS,CAR,2024-01-24,10:46:33,2024-01-24,200
,charlie coyle,BOS,CAR,2024-01-24,10:46:33,2024-01-24,220
,martin necas,BOS,CAR,2024-01-24,10:46:33,2024-01-24,220
,jake debrusk,BOS,CAR,2024-01-24,10:46:33,2024-01-24,235
,michael bunting,BOS,CAR,2024-01-24,10:46:33,2024-01-24,265
,teuvo teravainen,BOS,CAR,2024-01-24,10:46:33,2024-01-24,265
,james van riemsdyk,BOS,CAR,2024-01-24,10:46:33,2024-01-24,285
,pavel zacha,BOS,CAR,2024-01-24,10:46:33,2024-01-24,290
,morgan geekie,BOS,CAR,2024-01-24,10:46:33,2024-01-24,320
,trent frederic,BOS,CAR,2024-01-24,10:46:33,2024-01-24,330
,jesperi kotkaniemi,BOS,CAR,2024-01-24,10:46:33,2024-01-24,360
,stefan noesen,BOS,CAR,2024-01-24,10:46:33,2024-01-24,360
,brent burns,BOS,CAR,2024-01-24,10:46:33,2024-01-24,370
,jordan martinook,BOS,CAR,2024-01-24,10:46:33,2024-01-24,380
,danton heinen,BOS,CAR,2024-01-24,10:46:33,2024-01-24,425
,jack drury,BOS,CAR,2024-01-24,10:46:33,2024-01-24,450
,jordan staal,BOS,CAR,2024-01-24,10:46:33,2024-01-24,450
,charlie mcavoy,BOS,CAR,2024-01-24,10:46:33,2024-01-24,500
,brady skjei,BOS,CAR,2024-01-24,10:46:33,2024-01-24,550
,jesper boqvist,BOS,CAR,2024-01-24,10:46:33,2024-01-24,650
,jakub lauko,BOS,CAR,2024-01-24,10:46:33,2024-01-24,700
,oskar steen,BOS,CAR,2024-01-24,10:46:33,2024-01-24,700
,jesper fast,BOS,CAR,2024-01-24,10:46:33,2024-01-24,700
,hampus lindholm,BOS,CAR,2024-01-24,10:46:33,2024-01-24,750
,brendan lemieux,BOS,CAR,2024-01-24,10:46:33,2024-01-24,850
,brett pesce,BOS,CAR,2024-01-24,10:46:33,2024-01-24,900
,jaccob slavin,BOS,CAR,2024-01-24,10:46:33,2024-01-24,900
,kevin shattenkirk,BOS,CAR,2024-01-24,10:46:33,2024-01-24,950
,matt grzelcyk,BOS,CAR,2024-01-24,10:46:33,2024-01-24,1000
,jalen chatfield,BOS,CAR,2024-01-24,10:46:33,2024-01-24,1100
,dmitry orlov,BOS,CAR,2024-01-24,10:46:33,2024-01-24,1200
,brandon carlo,BOS,CAR,2024-01-24,10:46:33,2024-01-24,1200
,derek forbort,BOS,CAR,2024-01-24,10:46:33,2024-01-24,1300
,nathan mackinnon,COL,WSH,2024-01-24,10:46:33,2024-01-24,-135
,mikko rantanen,COL,WSH,2024-01-24,10:46:33,2024-01-24,-120
,alex ovechkin,COL,WSH,2024-01-24,10:46:33,2024-01-24,190
,artturi lehkonen,COL,WSH,2024-01-24,10:46:33,2024-01-24,200
,jonathan drouin,COL,WSH,2024-01-24,10:46:33,2024-01-24,230
,max pacioretty,COL,WSH,2024-01-24,10:46:33,2024-01-24,230
,dylan strome,COL,WSH,2024-01-24,10:46:33,2024-01-24,250
,cale makar,COL,WSH,2024-01-24,10:46:33,2024-01-24,250
,tom wilson,COL,WSH,2024-01-24,10:46:33,2024-01-24,260
,ross colton,COL,WSH,2024-01-24,10:46:33,2024-01-24,265
,tj oshie,COL,WSH,2024-01-24,10:46:33,2024-01-24,275
,miles wood,COL,WSH,2024-01-24,10:46:33,2024-01-24,300
,logan oconnor,COL,WSH,2024-01-24,10:46:33,2024-01-24,330
,anthony mantha,COL,WSH,2024-01-24,10:46:33,2024-01-24,340
,ryan johansen,COL,WSH,2024-01-24,10:46:33,2024-01-24,380
,connor mcmichael,COL,WSH,2024-01-24,10:46:33,2024-01-24,400
,evgeny kuznetsov,COL,WSH,2024-01-24,10:46:33,2024-01-24,475
,devon toews,COL,WSH,2024-01-24,10:46:33,2024-01-24,475
,aliaksei protas,COL,WSH,2024-01-24,10:46:33,2024-01-24,500
,john carlson,COL,WSH,2024-01-24,10:46:33,2024-01-24,550
,nic dowd,COL,WSH,2024-01-24,10:46:33,2024-01-24,600
,joel kiviranta,COL,WSH,2024-01-24,10:46:33,2024-01-24,650
,beck malenstyn,COL,WSH,2024-01-24,10:46:33,2024-01-24,650
,andrew cogliano,COL,WSH,2024-01-24,10:46:33,2024-01-24,650
,bowen byram,COL,WSH,2024-01-24,10:46:33,2024-01-24,700
,nicolas aube kubel,COL,WSH,2024-01-24,10:46:33,2024-01-24,700
,ben meyers,COL,WSH,2024-01-24,10:46:33,2024-01-24,750
,fredrik olofsson,COL,WSH,2024-01-24,10:46:33,2024-01-24,750
,sam malinski,COL,WSH,2024-01-24,10:46:33,2024-01-24,800
,samuel girard,COL,WSH,2024-01-24,10:46:33,2024-01-24,850
,josh manson,COL,WSH,2024-01-24,10:46:33,2024-01-24,1000
,rasmus sandin,COL,WSH,2024-01-24,10:46:33,2024-01-24,1100
,martin fehervary,COL,WSH,2024-01-24,10:46:33,2024-01-24,1200
,nick jensen,COL,WSH,2024-01-24,10:46:33,2024-01-24,1300
,trevor van riemsdyk,COL,WSH,2024-01-24,10:46:33,2024-01-24,1400
,joel edmundson,COL,WSH,2024-01-24,10:46:33,2024-01-24,1500
,elias pettersson,VAN,STL,2024-01-24,10:46:33,2024-01-24,135
,jordan kyrou,VAN,STL,2024-01-24,10:46:33,2024-01-24,165
,brock boeser,VAN,STL,2024-01-24,10:46:33,2024-01-24,170
,jt miller,VAN,STL,2024-01-24,10:46:33,2024-01-24,185
,pavel buchnevich,VAN,STL,2024-01-24,10:46:33,2024-01-24,200
,robert thomas,VAN,STL,2024-01-24,10:46:33,2024-01-24,240
,conor garland,VAN,STL,2024-01-24,10:46:33,2024-01-24,270
,pius suter,VAN,STL,2024-01-24,10:46:33,2024-01-24,295
,jake neighbours,VAN,STL,2024-01-24,10:46:33,2024-01-24,300
,andrei kuzmenko,VAN,STL,2024-01-24,10:46:33,2024-01-24,320
,brayden schenn,VAN,STL,2024-01-24,10:46:33,2024-01-24,320
,ilya mikheyev,VAN,STL,2024-01-24,10:46:33,2024-01-24,330
,brandon saad,VAN,STL,2024-01-24,10:46:33,2024-01-24,340
,quinn hughes,VAN,STL,2024-01-24,10:46:33,2024-01-24,380
,dakota joshua,VAN,STL,2024-01-24,10:46:33,2024-01-24,380
,nils hoglander,VAN,STL,2024-01-24,10:46:33,2024-01-24,400
,kevin hayes,VAN,STL,2024-01-24,10:46:33,2024-01-24,425
,sam lafferty,VAN,STL,2024-01-24,10:46:33,2024-01-24,425
,teddy blueger,VAN,STL,2024-01-24,10:46:33,2024-01-24,500
,oskar sundqvist,VAN,STL,2024-01-24,10:46:33,2024-01-24,550
,filip hronek,VAN,STL,2024-01-24,10:46:33,2024-01-24,600
,alexei toropchenko,VAN,STL,2024-01-24,10:46:33,2024-01-24,650
,adam gaudette,VAN,STL,2024-01-24,10:46:33,2024-01-24,650
,colton parayko,VAN,STL,2024-01-24,10:46:33,2024-01-24,700
,justin faulk,VAN,STL,2024-01-24,10:46:33,2024-01-24,750
,nils aman,VAN,STL,2024-01-24,10:46:33,2024-01-24,750
,torey krug,VAN,STL,2024-01-24,10:46:33,2024-01-24,750
,nathan walker,VAN,STL,2024-01-24,10:46:33,2024-01-24,800
,nikita alexandrov,VAN,STL,2024-01-24,10:46:33,2024-01-24,850
,nikita zadorov,VAN,STL,2024-01-24,10:46:33,2024-01-24,1100
,tyler myers,VAN,STL,2024-01-24,10:46:33,2024-01-24,1100
,ian cole,VAN,STL,2024-01-24,10:46:33,2024-01-24,1200
,nick leddy,VAN,STL,2024-01-24,10:46:33,2024-01-24,1300
,matthew kessel,VAN,STL,2024-01-24,10:46:33,2024-01-24,1400
,noah juulsen,VAN,STL,2024-01-24,10:46:33,2024-01-24,1700
,marco scandella,VAN,STL,2024-01-24,10:46:33,2024-01-24,1800
,oliver bjorkstrand,SEA,CHI,2024-01-24,10:46:33,2024-01-24,180
,jared mccann,SEA,CHI,2024-01-24,10:46:33,2024-01-24,190
,eeli tolvanen,SEA,CHI,2024-01-24,10:46:33,2024-01-24,230
,jordan eberle,SEA,CHI,2024-01-24,10:46:33,2024-01-24,235
,jaden schwartz,SEA,CHI,2024-01-24,10:46:33,2024-01-24,235
,philipp kurashev,SEA,CHI,2024-01-24,10:46:33,2024-01-24,285
,alex wennberg,SEA,CHI,2024-01-24,10:46:33,2024-01-24,310
,nick foligno,SEA,CHI,2024-01-24,10:46:33,2024-01-24,310
,tomas tatar,SEA,CHI,2024-01-24,10:46:33,2024-01-24,320
,andre burakovsky,SEA,CHI,2024-01-24,10:46:33,2024-01-24,340
,taylor raddysh,SEA,CHI,2024-01-24,10:46:33,2024-01-24,340
,jason dickinson,SEA,CHI,2024-01-24,10:46:33,2024-01-24,340
,brandon tanev,SEA,CHI,2024-01-24,10:46:33,2024-01-24,400
,tye kartye,SEA,CHI,2024-01-24,10:46:33,2024-01-24,400
,ryan donato,SEA,CHI,2024-01-24,10:46:33,2024-01-24,425
,colin blackwell,SEA,CHI,2024-01-24,10:46:33,2024-01-24,425
,rem pitlick,SEA,CHI,2024-01-24,10:46:33,2024-01-24,475
,seth jones,SEA,CHI,2024-01-24,10:46:33,2024-01-24,550
,boris katchouk,SEA,CHI,2024-01-24,10:46:33,2024-01-24,650
,zach sanford,SEA,CHI,2024-01-24,10:46:33,2024-01-24,650
,john hayden,SEA,CHI,2024-01-24,10:46:33,2024-01-24,700
,joey anderson,SEA,CHI,2024-01-24,10:46:33,2024-01-24,700
,justin schultz,SEA,CHI,2024-01-24,10:46:33,2024-01-24,750
,reese johnson,SEA,CHI,2024-01-24,10:46:33,2024-01-24,800
,alex vlasic,SEA,CHI,2024-01-24,10:46:33,2024-01-24,800
,devin shore,SEA,CHI,2024-01-24,10:46:33,2024-01-24,850
,mackenzie entwistle,SEA,CHI,2024-01-24,10:46:33,2024-01-24,850
,adam larsson,SEA,CHI,2024-01-24,10:46:33,2024-01-24,900
,jamie oleksiak,SEA,CHI,2024-01-24,10:46:33,2024-01-24,900
,kevin korchinski,SEA,CHI,2024-01-24,10:46:33,2024-01-24,1000
,will borgen,SEA,CHI,2024-01-24,10:46:33,2024-01-24,1000
,brian dumoulin,SEA,CHI,2024-01-24,10:46:33,2024-01-24,1200
,jaycob megna,SEA,CHI,2024-01-24,10:46:33,2024-01-24,1400
,isaak phillips,SEA,CHI,2024-01-24,10:46:33,2024-01-24,1600
,louis crevier,SEA,CHI,2024-01-24,10:46:33,2024-01-24,1700
,trevor moore,LAK,BUF,2024-01-24,10:46:33,2024-01-24,145
,adrian kempe,LAK,BUF,2024-01-24,10:46:33,2024-01-24,160
,kevin fiala,LAK,BUF,2024-01-24,10:46:33,2024-01-24,170
,jeff skinner,LAK,BUF,2024-01-24,10:46:33,2024-01-24,180
,tage thompson,LAK,BUF,2024-01-24,10:46:33,2024-01-24,190
,anze kopitar,LAK,BUF,2024-01-24,10:46:33,2024-01-24,240
,quinton byfield,LAK,BUF,2024-01-24,10:46:33,2024-01-24,240
,alex tuch,LAK,BUF,2024-01-24,10:46:33,2024-01-24,240
,pierre luc dubois,LAK,BUF,2024-01-24,10:46:33,2024-01-24,265
,phillip danault,LAK,BUF,2024-01-24,10:46:33,2024-01-24,265
,casey mittelstadt,LAK,BUF,2024-01-24,10:46:33,2024-01-24,310
,jack quinn,LAK,BUF,2024-01-24,10:46:33,2024-01-24,320
,dylan cozens,LAK,BUF,2024-01-24,10:46:33,2024-01-24,350
,john jason peterka,LAK,BUF,2024-01-24,10:46:33,2024-01-24,360
,alex laferriere,LAK,BUF,2024-01-24,10:46:33,2024-01-24,390
,zach benson,LAK,BUF,2024-01-24,10:46:33,2024-01-24,400
,drew doughty,LAK,BUF,2024-01-24,10:46:33,2024-01-24,425
,rasmus dahlin,LAK,BUF,2024-01-24,10:46:33,2024-01-24,450
,kyle okposo,LAK,BUF,2024-01-24,10:46:33,2024-01-24,500
,carl grundstrom,LAK,BUF,2024-01-24,10:46:33,2024-01-24,500
,samuel fagemo,LAK,BUF,2024-01-24,10:46:33,2024-01-24,550
,jordan greenway,LAK,BUF,2024-01-24,10:46:33,2024-01-24,600
,trevor lewis,LAK,BUF,2024-01-24,10:46:33,2024-01-24,650
,peyton krebs,LAK,BUF,2024-01-24,10:46:33,2024-01-24,700
,zemgus girgensons,LAK,BUF,2024-01-24,10:46:33,2024-01-24,700
,jaret anderson dolan,LAK,BUF,2024-01-24,10:46:33,2024-01-24,700
,vladislav gavrikov,LAK,BUF,2024-01-24,10:46:33,2024-01-24,950
,owen power,LAK,BUF,2024-01-24,10:46:33,2024-01-24,1000
,mikey anderson,LAK,BUF,2024-01-24,10:46:33,2024-01-24,1100
,brandt clarke,LAK,BUF,2024-01-24,10:46:33,2024-01-24,1100
,jordan spence,LAK,BUF,2024-01-24,10:46:33,2024-01-24,1100
,mattias samuelsson,LAK,BUF,2024-01-24,10:46:33,2024-01-24,1400
,henri jokiharju,LAK,BUF,2024-01-24,10:46:33,2024-01-24,1400
,ryan johnson,LAK,BUF,2024-01-24,10:46:33,2024-01-24,1600
,connor clifton,LAK,BUF,2024-01-24,10:46:33,2024-01-24,1700
,andreas englund,LAK,BUF,2024-01-24,10:46:33,2024-01-24,1700
,nikita kucherov,TBL,ARI,2024-01-25,09:52:53,2024-01-25,-105
,brayden point,TBL,ARI,2024-01-25,09:52:53,2024-01-25,130
,clayton keller,TBL,ARI,2024-01-25,09:52:53,2024-01-25,140
,steven stamkos,TBL,ARI,2024-01-25,09:52:53,2024-01-25,160
,brandon hagel,TBL,ARI,2024-01-25,09:52:53,2024-01-25,205
,lawson crouse,TBL,ARI,2024-01-25,09:52:53,2024-01-25,235
,nick schmaltz,TBL,ARI,2024-01-25,09:52:53,2024-01-25,255
,nicholas paul,TBL,ARI,2024-01-25,09:52:53,2024-01-25,260
,nick bjugstad,TBL,ARI,2024-01-25,09:52:53,2024-01-25,275
,jason zucker,TBL,ARI,2024-01-25,09:52:53,2024-01-25,290
,anthony cirelli,TBL,ARI,2024-01-25,09:52:53,2024-01-25,290
,dylan guenther,TBL,ARI,2024-01-25,09:52:53,2024-01-25,300
,alexander kerfoot,TBL,ARI,2024-01-25,09:52:53,2024-01-25,310
,matias maccelli,TBL,ARI,2024-01-25,09:52:53,2024-01-25,360
,logan cooley,TBL,ARI,2024-01-25,09:52:53,2024-01-25,360
,victor hedman,TBL,ARI,2024-01-25,09:52:53,2024-01-25,400
,mikey eyssimont,TBL,ARI,2024-01-25,09:52:53,2024-01-25,450
,michael carcone,TBL,ARI,2024-01-25,09:52:53,2024-01-25,475
,tyler motte,TBL,ARI,2024-01-25,09:52:53,2024-01-25,550
,alex barre boulet,TBL,ARI,2024-01-25,09:52:53,2024-01-25,600
,jack mcbain,TBL,ARI,2024-01-25,09:52:53,2024-01-25,600
,conor sheary,TBL,ARI,2024-01-25,09:52:53,2024-01-25,650
,sean durzi,TBL,ARI,2024-01-25,09:52:53,2024-01-25,650
,luke glendening,TBL,ARI,2024-01-25,09:52:53,2024-01-25,750
,liam obrien,TBL,ARI,2024-01-25,09:52:53,2024-01-25,850
,waltteri merela,TBL,ARI,2024-01-25,09:52:53,2024-01-25,850
,darren raddysh,TBL,ARI,2024-01-25,09:52:53,2024-01-25,850
,janis moser,TBL,ARI,2024-01-25,09:52:53,2024-01-25,900
,calvin de haan,TBL,ARI,2024-01-25,09:52:53,2024-01-25,1100
,juuso valimaki,TBL,ARI,2024-01-25,09:52:53,2024-01-25,1100
,nick perbix,TBL,ARI,2024-01-25,09:52:53,2024-01-25,1200
,michael kesselring,TBL,ARI,2024-01-25,09:52:53,2024-01-25,1300
,maxwell crozier,TBL,ARI,2024-01-25,09:52:53,2024-01-25,1300
,emil lilleberg,TBL,ARI,2024-01-25,09:52:53,2024-01-25,1300
,travis dermott,TBL,ARI,2024-01-25,09:52:53,2024-01-25,1400
,josh brown,TBL,ARI,2024-01-25,09:52:53,2024-01-25,2000
,david pastrnak,OTT,BOS,2024-01-25,09:52:53,2024-01-25,-150
,brad marchand,OTT,BOS,2024-01-25,09:52:53,2024-01-25,155
,brady tkachuk,OTT,BOS,2024-01-25,09:52:53,2024-01-25,160
,charlie coyle,OTT,BOS,2024-01-25,09:52:53,2024-01-25,195
,tim stutzle,OTT,BOS,2024-01-25,09:52:53,2024-01-25,220
,jake debrusk,OTT,BOS,2024-01-25,09:52:53,2024-01-25,220
,drake batherson,OTT,BOS,2024-01-25,09:52:53,2024-01-25,225
,josh norris,OTT,BOS,2024-01-25,09:52:53,2024-01-25,230
,claude giroux,OTT,BOS,2024-01-25,09:52:53,2024-01-25,235
,pavel zacha,OTT,BOS,2024-01-25,09:52:53,2024-01-25,275
,james van riemsdyk,OTT,BOS,2024-01-25,09:52:53,2024-01-25,285
,vladimir tarasenko,OTT,BOS,2024-01-25,09:52:53,2024-01-25,285
,morgan geekie,OTT,BOS,2024-01-25,09:52:53,2024-01-25,300
,shane pinto,OTT,BOS,2024-01-25,09:52:53,2024-01-25,340
,trent frederic,OTT,BOS,2024-01-25,09:52:53,2024-01-25,340
,ridly greig,OTT,BOS,2024-01-25,09:52:53,2024-01-25,370
,charlie mcavoy,OTT,BOS,2024-01-25,09:52:53,2024-01-25,425
,mathieu joseph,OTT,BOS,2024-01-25,09:52:53,2024-01-25,425
,danton heinen,OTT,BOS,2024-01-25,09:52:53,2024-01-25,450
,jakob chychrun,OTT,BOS,2024-01-25,09:52:53,2024-01-25,550
,jesper boqvist,OTT,BOS,2024-01-25,09:52:53,2024-01-25,600
,jake sanderson,OTT,BOS,2024-01-25,09:52:53,2024-01-25,650
,thomas chabot,OTT,BOS,2024-01-25,09:52:53,2024-01-25,650
,parker kelly,OTT,BOS,2024-01-25,09:52:53,2024-01-25,650
,jakub lauko,OTT,BOS,2024-01-25,09:52:53,2024-01-25,700
,oskar steen,OTT,BOS,2024-01-25,09:52:53,2024-01-25,750
,hampus lindholm,OTT,BOS,2024-01-25,09:52:53,2024-01-25,800
,rourke chartier,OTT,BOS,2024-01-25,09:52:53,2024-01-25,800
,zack macewen,OTT,BOS,2024-01-25,09:52:53,2024-01-25,850
,artyom zub,OTT,BOS,2024-01-25,09:52:53,2024-01-25,1000
,brandon carlo,OTT,BOS,2024-01-25,09:52:53,2024-01-25,1100
,matt grzelcyk,OTT,BOS,2024-01-25,09:52:53,2024-01-25,1100
,parker wotherspoon,OTT,BOS,2024-01-25,09:52:53,2024-01-25,1200
,derek forbort,OTT,BOS,2024-01-25,09:52:53,2024-01-25,1300
,erik brannstrom,OTT,BOS,2024-01-25,09:52:53,2024-01-25,1400
,jacob bernard docker,OTT,BOS,2024-01-25,09:52:53,2024-01-25,1500
,travis konecny,DET,PHI,2024-01-25,09:52:53,2024-01-25,125
,dylan larkin,DET,PHI,2024-01-25,09:52:53,2024-01-25,155
,sean couturier,DET,PHI,2024-01-25,09:52:53,2024-01-25,185
,joel farabee,DET,PHI,2024-01-25,09:52:53,2024-01-25,195
,alex debrincat,DET,PHI,2024-01-25,09:52:53,2024-01-25,195
,cam atkinson,DET,PHI,2024-01-25,09:52:53,2024-01-25,220
,lucas raymond,DET,PHI,2024-01-25,09:52:53,2024-01-25,285
,tyson foerster,DET,PHI,2024-01-25,09:52:53,2024-01-25,295
,david perron,DET,PHI,2024-01-25,09:52:53,2024-01-25,300
,morgan frost,DET,PHI,2024-01-25,09:52:53,2024-01-25,310
,robby fabbri,DET,PHI,2024-01-25,09:52:53,2024-01-25,310
,daniel sprong,DET,PHI,2024-01-25,09:52:53,2024-01-25,330
,scott laughton,DET,PHI,2024-01-25,09:52:53,2024-01-25,400
,michael rasmussen,DET,PHI,2024-01-25,09:52:53,2024-01-25,500
,noah cates,DET,PHI,2024-01-25,09:52:53,2024-01-25,600
,joe veleno,DET,PHI,2024-01-25,09:52:53,2024-01-25,600
,garnet hathaway,DET,PHI,2024-01-25,09:52:53,2024-01-25,600
,andrew copp,DET,PHI,2024-01-25,09:52:53,2024-01-25,600
,shayne gostisbehere,DET,PHI,2024-01-25,09:52:53,2024-01-25,650
,olle lycksell,DET,PHI,2024-01-25,09:52:53,2024-01-25,700
,jamie drysdale,DET,PHI,2024-01-25,09:52:53,2024-01-25,700
,ryan poehling,DET,PHI,2024-01-25,09:52:53,2024-01-25,700
,christian fischer,DET,PHI,2024-01-25,09:52:53,2024-01-25,700
,klim kostin,DET,PHI,2024-01-25,09:52:53,2024-01-25,750
,egor zamula,DET,PHI,2024-01-25,09:52:53,2024-01-25,750
,moritz seider,DET,PHI,2024-01-25,09:52:53,2024-01-25,750
,cameron york,DET,PHI,2024-01-25,09:52:53,2024-01-25,800
,travis sanheim,DET,PHI,2024-01-25,09:52:53,2024-01-25,850
,jake walman,DET,PHI,2024-01-25,09:52:53,2024-01-25,850
,rhett gardner,DET,PHI,2024-01-25,09:52:53,2024-01-25,900
,sean walker,DET,PHI,2024-01-25,09:52:53,2024-01-25,1100
,jeff petry,DET,PHI,2024-01-25,09:52:53,2024-01-25,1200
,olli maatta,DET,PHI,2024-01-25,09:52:53,2024-01-25,1400
,nick seeler,DET,PHI,2024-01-25,09:52:53,2024-01-25,1400
,justin holl,DET,PHI,2024-01-25,09:52:53,2024-01-25,1800
,brock nelson,MTL,NYI,2024-01-25,09:52:53,2024-01-25,140
,cole caufield,MTL,NYI,2024-01-25,09:52:53,2024-01-25,140
,bo horvat,MTL,NYI,2024-01-25,09:52:53,2024-01-25,140
,mathew barzal,MTL,NYI,2024-01-25,09:52:53,2024-01-25,170
,anders lee,MTL,NYI,2024-01-25,09:52:53,2024-01-25,195
,kyle palmieri,MTL,NYI,2024-01-25,09:52:53,2024-01-25,220
,nick suzuki,MTL,NYI,2024-01-25,09:52:53,2024-01-25,270
,juraj slafkovsky,MTL,NYI,2024-01-25,09:52:53,2024-01-25,290
,sean monahan,MTL,NYI,2024-01-25,09:52:53,2024-01-25,320
,josh anderson,MTL,NYI,2024-01-25,09:52:53,2024-01-25,330
,noah dobson,MTL,NYI,2024-01-25,09:52:53,2024-01-25,360
,brendan gallagher,MTL,NYI,2024-01-25,09:52:53,2024-01-25,380
,jean gabriel pageau,MTL,NYI,2024-01-25,09:52:53,2024-01-25,425
,rafael harvey pinard,MTL,NYI,2024-01-25,09:52:53,2024-01-25,475
,joel armia,MTL,NYI,2024-01-25,09:52:53,2024-01-25,475
,mike matheson,MTL,NYI,2024-01-25,09:52:53,2024-01-25,500
,simon holmstrom,MTL,NYI,2024-01-25,09:52:53,2024-01-25,500
,tanner pearson,MTL,NYI,2024-01-25,09:52:53,2024-01-25,500
,julien gauthier,MTL,NYI,2024-01-25,09:52:53,2024-01-25,550
,joshua roy,MTL,NYI,2024-01-25,09:52:53,2024-01-25,550
,kyle maclean,MTL,NYI,2024-01-25,09:52:53,2024-01-25,550
,hudson fasching,MTL,NYI,2024-01-25,09:52:53,2024-01-25,550
,jake evans,MTL,NYI,2024-01-25,09:52:53,2024-01-25,650
,cal clutterbuck,MTL,NYI,2024-01-25,09:52:53,2024-01-25,700
,matt martin,MTL,NYI,2024-01-25,09:52:53,2024-01-25,700
,alexander romanov,MTL,NYI,2024-01-25,09:52:53,2024-01-25,800
,mike reilly,MTL,NYI,2024-01-25,09:52:53,2024-01-25,800
,michael pezzetta,MTL,NYI,2024-01-25,09:52:53,2024-01-25,900
,adam pelech,MTL,NYI,2024-01-25,09:52:53,2024-01-25,950
,sebastian aho (nyi),MTL,NYI,2024-01-25,09:52:53,2024-01-25,1000
,kaiden guhle,MTL,NYI,2024-01-25,09:52:53,2024-01-25,1100
,scott mayfield,MTL,NYI,2024-01-25,09:52:53,2024-01-25,1200
,david savard,MTL,NYI,2024-01-25,09:52:53,2024-01-25,1200
,jayden struble,MTL,NYI,2024-01-25,09:52:53,2024-01-25,1300
,arber xhekaj,MTL,NYI,2024-01-25,09:52:53,2024-01-25,1300
,johnathan kovacevic,MTL,NYI,2024-01-25,09:52:53,2024-01-25,1500
,sebastian aho (car),CAR,NJD,2024-01-25,09:52:53,2024-01-25,140
,jesper bratt,CAR,NJD,2024-01-25,09:52:53,2024-01-25,160
,tyler toffoli,CAR,NJD,2024-01-25,09:52:53,2024-01-25,175
