team,date_recorded,time_recorded,date_game,time_game,line,odds
NSH,2023-10-17,11:22:02,2023-10-17,19:00:00,1.5,-210
LAK,2023-10-17,11:22:02,2023-10-17,19:00:00,1.5,-225
WPG,2023-10-17,11:22:02,2023-10-17,19:00:00,-1.5,165
COL,2023-10-17,11:22:02,2023-10-17,21:00:00,-1.5,150
SEA,2023-10-17,11:22:02,2023-10-17,21:00:00,1.5,-205
CAR,2023-10-17,11:22:02,2023-10-17,21:30:00,-1.5,-130
SJS,2023-10-17,11:22:02,2023-10-17,21:30:00,1.5,105
DAL,2023-10-17,11:22:02,2023-10-17,21:30:00,1.5,-280
VGK,2023-10-17,11:22:02,2023-10-17,21:30:00,-1.5,200
WSH,2023-10-18,17:07:14,2023-10-18,18:07:00,1.5,-175
OTT,2023-10-18,17:07:14,2023-10-18,18:07:00,-1.5,135
PIT,2023-10-18,17:07:14,2023-10-18,18:37:00,-1.5,170
DET,2023-10-18,17:07:14,2023-10-18,18:37:00,1.5,-235
NSH,2023-10-19,10:04:26,2023-10-19,18:07:00,1.5,-165
NYR,2023-10-19,10:04:26,2023-10-19,18:07:00,-1.5,130
TOR,2023-10-19,10:04:26,2023-10-19,18:07:00,-1.5,160
FLA,2023-10-19,10:04:26,2023-10-19,18:07:00,1.5,-220
VAN,2023-10-19,10:04:26,2023-10-19,18:07:00,1.5,-205
TBL,2023-10-19,10:04:26,2023-10-19,18:07:00,-1.5,150
CGY,2023-10-19,10:04:26,2023-10-19,18:07:00,1.5,-275
BUF,2023-10-19,10:04:26,2023-10-19,18:07:00,-1.5,195
EDM,2023-10-19,10:04:26,2023-10-19,18:37:00,-1.5,105
PHI,2023-10-19,10:04:26,2023-10-19,18:37:00,1.5,-130
VGK,2023-10-19,10:04:26,2023-10-19,19:07:00,-1.5,195
WPG,2023-10-19,10:04:26,2023-10-19,19:07:00,1.5,-275
ARI,2023-10-19,10:04:26,2023-10-19,19:07:00,1.5,-275
STL,2023-10-19,10:04:26,2023-10-19,19:07:00,-1.5,195
LAK,2023-10-19,10:04:26,2023-10-19,19:07:00,1.5,-280
MIN,2023-10-19,10:04:26,2023-10-19,19:07:00,-1.5,200
DAL,2023-10-19,10:04:26,2023-10-19,21:07:00,-1.5,100
ANA,2023-10-19,10:04:26,2023-10-19,21:07:00,1.5,-120
CAR,2023-10-19,10:04:26,2023-10-19,21:07:00,-1.5,150
SEA,2023-10-19,10:04:26,2023-10-19,21:07:00,1.5,-205
CHI,2023-10-19,10:04:26,2023-10-19,21:37:00,1.5,115
COL,2023-10-19,10:04:26,2023-10-19,21:37:00,-1.5,-145
BOS,2023-10-19,10:04:26,2023-10-19,21:37:00,-1.5,-115
SJS,2023-10-19,10:04:26,2023-10-19,21:37:00,1.5,-105
CGY,2023-10-20,09:51:36,2023-10-20,18:07:00,-1.5,160
CBJ,2023-10-20,09:51:36,2023-10-20,18:07:00,1.5,-220
NJD,2023-10-20,09:51:36,2023-10-20,18:37:00,-1.5,185
NYI,2023-10-20,09:51:36,2023-10-20,18:37:00,1.5,-260
DET,2023-10-21,10:08:00,2023-10-21,12:00:00,1.5,-205
OTT,2023-10-21,10:08:00,2023-10-21,12:00:00,-1.5,150
ANA,2023-10-21,10:08:00,2023-10-21,15:00:00,1.5,-165
ARI,2023-10-21,10:08:00,2023-10-21,15:00:00,-1.5,130
VAN,2023-10-21,10:08:00,2023-10-21,18:00:00,1.5,-225
FLA,2023-10-21,10:08:00,2023-10-21,18:00:00,-1.5,165
TOR,2023-10-21,10:08:00,2023-10-21,18:00:00,-1.5,160
TBL,2023-10-21,10:08:00,2023-10-21,18:00:00,1.5,-220
NYI,2023-10-21,10:08:00,2023-10-21,18:00:00,1.5,-250
BUF,2023-10-21,10:08:00,2023-10-21,18:00:00,-1.5,180
WAS,2023-10-21,10:08:00,2023-10-21,18:00:00,-1.5,185
MTL,2023-10-21,10:08:00,2023-10-21,18:00:00,1.5,-260
VGK,2023-10-21,10:08:00,2023-10-21,19:00:00,-1.5,105
CHI,2023-10-21,10:08:00,2023-10-21,19:00:00,1.5,-130
SJS,2023-10-21,10:08:00,2023-10-21,19:00:00,1.5,-130
NSH,2023-10-21,10:08:00,2023-10-21,19:00:00,-1.5,105
