team,date_recorded,time_recorded,date_game,time_game,line,odds
SJS,2023-11-07,10:05:00,2023-11-07,21:38:00,1.5,-145
OTT,2023-11-08,11:45:21,2023-11-08,18:08:00,1.5,-175
TOR,2023-11-08,11:45:21,2023-11-08,18:08:00,-1.5,135
FLA,2023-11-08,11:45:21,2023-11-08,18:38:00,-1.5,160
WSH,2023-11-08,11:45:21,2023-11-08,18:38:00,1.5,-220
LAK,2023-11-08,11:45:21,2023-11-08,21:08:00,1.5,-240
VGK,2023-11-08,11:45:21,2023-11-08,21:08:00,-1.5,175
NYI,2023-11-09,10:00:49,2023-11-09,18:07:00,1.5,-220
BOS,2023-11-09,10:00:49,2023-11-09,18:07:00,-1.5,160
CHI,2023-11-09,10:00:49,2023-11-09,18:07:00,1.5,-120
TBL,2023-11-09,10:00:49,2023-11-09,18:07:00,-1.5,100
MIN,2023-11-09,10:00:49,2023-11-09,18:07:00,1.5,-265
NYR,2023-11-09,10:00:49,2023-11-09,18:07:00,-1.5,190
VAN,2023-11-09,10:00:49,2023-11-09,18:07:00,-1.5,180
OTT,2023-11-09,10:00:49,2023-11-09,18:07:00,1.5,-250
MTL,2023-11-09,10:00:49,2023-11-09,18:07:00,1.5,-175
DET,2023-11-09,10:00:49,2023-11-09,18:07:00,-1.5,135
DAL,2023-11-09,10:00:49,2023-11-09,18:37:00,-1.5,115
CBJ,2023-11-09,10:00:49,2023-11-09,18:37:00,1.5,-145
NSH,2023-11-09,10:00:49,2023-11-09,19:07:00,1.5,-260
WPG,2023-11-09,10:00:49,2023-11-09,19:07:00,-1.5,185
ARI,2023-11-09,10:00:49,2023-11-09,19:07:00,1.5,-280
STL,2023-11-09,10:00:49,2023-11-09,19:07:00,-1.5,200
SEA,2023-11-09,10:00:49,2023-11-09,20:07:00,1.5,-130
COL,2023-11-09,10:00:49,2023-11-09,20:07:00,-1.5,105
PIT,2023-11-09,10:00:49,2023-11-09,21:37:00,1.5,-250
LAK,2023-11-09,10:00:49,2023-11-09,21:37:00,-1.5,180
EDM,2023-11-09,10:00:49,2023-11-09,21:37:00,-1.5,-155
SJS,2023-11-09,10:00:49,2023-11-09,21:37:00,1.5,125
CGY,2023-11-10,10:38:36,2023-11-10,18:07:00,1.5,-195
TOR,2023-11-10,10:38:36,2023-11-10,18:07:00,-1.5,145
WSH,2023-11-10,10:38:36,2023-11-10,18:07:00,1.5,-165
NJD,2023-11-10,10:38:36,2023-11-10,18:07:00,-1.5,130
MIN,2023-11-10,10:38:36,2023-11-10,18:07:00,1.5,-265
BUF,2023-11-10,10:38:36,2023-11-10,18:07:00,-1.5,190
CAR,2023-11-10,10:38:36,2023-11-10,18:07:00,-1.5,180
FLA,2023-11-10,10:38:36,2023-11-10,18:07:00,1.5,-250
SJS,2023-11-10,10:38:36,2023-11-10,21:07:00,1.5,150
VGK,2023-11-10,10:38:36,2023-11-10,21:07:00,-1.5,-205
PHI,2023-11-10,10:38:36,2023-11-10,21:07:00,-1.5,190
ANA,2023-11-10,10:38:36,2023-11-10,21:07:00,1.5,-265
